rank_arwu;title;flag;regional;score_arwu;score_alumni
1;Harvard University;;1;100;100
2;Stanford University;;2;72.1;41.8
3;Massachusetts Institute of Technology (MIT);;3;70.5;68.4
4;University of California, Berkeley (UCB);;4;70.1;66.8
5;University of Cambridge;;1;69.2;79.1
6;Princeton University;;5;60.7;52.1
7;California Institute of Technology;;6;60.5;48.5
8;Columbia University;;7;59.6;65.1
9;University of Chicago;;8;57.4;61.4
9;University of Oxford;;2;57.4;51
11;Yale University;;9;55.2;48.8
12;University of California, Los Angeles (UCLA);;10;51.9;30.2
13;Cornell University;;11;50.6;37.6
14;University of California, San Diego (UCSD);;12;49.3;19.7
15;University of Washington;;13;48.1;21.7
16;University of Pennsylvania;;14;47.1;32.4
17;The Johns Hopkins University;;15;47;38.7
18;University of California, San Francisco;;16;45.2;0
19;Swiss Federal Institute of Technology Zurich;;1;43.9;30.2
20;University College London;;3;43.3;28.8
21;The University of Tokyo;;1;43.2;31.6
22;The Imperial College of Science; Technology and Medicine;;4;42.3;14.9
22;University of Michigan;;17;42.3;35.3
24;University of Toronto;;1;41.8;20.4
24;University of Wisconsin - Madison;;18;41.8;31.6
26;Kyoto University;;2;39.9;30.2
27;New York University (NYU);;19;39.6;28.8
28;Northwestern University;;20;39.4;15.8
28;University of Illinois at Urbana-Champaign;;20;39.4;30.7
30;University of Minnesota; Twin Cities;;22;39.3;30.2
31;Duke University;;23;38.4;15.8
32;Washington University in St. Louis;;24;37.8;19
33;Rockefeller University;;25;37.6;17.5
34;University of Colorado at Boulder;;26;37.2;12.9
35;Pierre and Marie Curie University - Paris 6;;1;35.4;34.5
36;University of North Carolina at Chapel Hill;;27;35.2;9.1
37;University of British Columbia;;2;35.1;15.8
38;The University of Manchester;;5;34.7;19
39;University of Texas at Austin;;28;34.5;16.6
39;University of Copenhagen;;1;34.5;22.3
41;University of California, Santa Barbara;;29;34.3;14.9
42;Université Paris-Sud 11;;2;34.2;31.1
43;University of Maryland, College Park; College Park;;30;32.7;19.7
44;The University of Melbourne;;1;32.6;17.5
45;The University of Edinburgh;;6;32.5;21.1
45;The University of Texas Southwestern Medical Center at Dallas;;31;32.5;19
47;Karolinska Institute;;1;31.9;22.9
47;University of California, Irvine;;32;31.9;0
49;Heidelberg University;;1;31.1;13.9
49;Ludwig-Maximilians-Universität München;;1;31.1;26.3
51;University of Southern California;;33;31;0
52;Rutgers; The State University of New Jersey - New Brunswick;;34;30.9;10.5
53;Technical University Munich;;3;30.7;35.7
54;Vanderbilt University;;35;30.6;15.8
55;University of California, Davis;;36;30.4;0
56;University of Zurich (UZH);;2;30.3;5.3
57;Utrecht University;;1;30.2;23.5
58;Pennsylvania State University - University Park;;37;30;10.5
59;King's College London (KCL);;7;29.7;21.7
60;Purdue University - West Lafayette;;38;29.5;13.9
60;Uppsala University;;2;29.5;18.2
62;Carnegie Mellon University;;39;29.4;32.4
63;University of Bristol;;8;28.9;7.4
64;The Ohio State University - Columbus;;40;28.7;12.9
65;University of Pittsburgh-Pittsburgh Campus;;41;28.6;19
66;University of Geneva;;3;28.5;22.3
67;Ecole Normale Superieure - Paris;;3;28.3;50.2
67;McGill University;;3;28.3;31.1
69;University of Oslo;;1;28.1;18.2
70;Ghent University;;1;28;5.3
70;The Hebrew University of Jerusalem;;1;28;32.9
72;Boston University;;42;27.8;11.8
73;University of Helsinki;;1;27.5;12.9
74;Aarhus University;;2;27.4;11.8
74;Brown University;;43;27.4;14.9
74;The Australian National University;;2;27.4;13.9
77;Leiden University;;2;27.3;18.2
78;Osaka University;;3;26.8;9.1
78;Stockholm University;;3;26.8;24.7
78;Technion - Israel Institute of Technology;;2;26.8;24.1
78;University of Florida;;44;26.8;17.5
82;Rice University;;45;26.7;16.6
82;University of Groningen;;3;26.7;0
84;Moscow State University;;1;26.1;42.4
85;The University of Queensland;;3;25.7;12.9
86;University of Arizona;;46;25.4;14.9
87;University of Utah;;47;25;0
88;Arizona State University;;48;24.9;0
88;The University of Western Australia;;4;24.9;13.9
90;McMaster University;;4;24.8;12.9
90;University of Basel;;4;24.8;19.7
90;University of Rochester;;49;24.8;25.2
93;University of California, Santa Cruz;;50;24.7;0
94;University of Bonn;;4;24.6;15.8
95;University of Strasbourg;;4;24.5;25.8
96;KU Leuven;;2;24.2;0
96;Swiss Federal Institute of Technology Lausanne;;5;24.2;0
96;Texas A & M University;;51;24.2;0
99;Georgia Institute of Technology;;52;24.1;12.9
100;VU University Amsterdam;;4;24;0
101;Aix Marseille University;;5-7;13.9;
101;Baylor College of Medicine;;53-64;0;
101;Cardiff University;;9-17;0;
101;Case Western Reserve University;;53-64;31.1;
101;Catholic University of Louvain;;3-4;10.5;
101;Emory University;;53-64;0;
101;Hokkaido University;;4-6;11.8;
101;Indiana University Bloomington;;53-64;10.5;
101;Joseph Fourier University - Grenoble 1;;5-7;0;
101;London School of Economics and Political Science (LSE);;9-17;20.4;
101;Lund University;;4;21.7;
101;Mayo Medical School;;53-64;0;
101;Michigan State University;;53-64;9.1;
101;Monash University;;5-7;0;
101;Nagoya University;;4-6;22.3;
101;National Taiwan University (NTU);;1;11.8;
101;National University of Singapore (NUS);;1;0;
101;Peking University;;1-3;0;
101;Radboud University Nijmegen;;5-7;16.6;
101;Seoul National University;;1;0;
101;Shanghai Jiao Tong University;;1-3;0;
101;Technical University of Denmark;;3;5.3;
101;University of Glasgow;;9-17;7.4;
101;The University of New South Wales;;5-7;0;
101;The University of Sheffield;;9-17;18.2;
101;The University of Texas M. D. Anderson Cancer Center;;53-64;0;
101;Tohoku University;;4-6;14.9;
101;Tsinghua University;;1-3;10.5;
101;Tufts University;;53-64;19;
101;University Libre Bruxelles;;3-4;20.4;
101;University of Alberta;;5-6;11.8;
101;University of Amsterdam;;5-7;5.3;
101;University of Birmingham;;9-17;19;
101;University of California, Riverside;;53-64;12.9;
101;University of Frankfurt;;5-7;31.1;
101;University of Freiburg;;5-7;19;
101;University of Goettingen;;5-7;31.6;
101;University of Leeds;;9-17;17.5;
101;University of Liverpool;;9-17;17.5;
101;University of Massachusetts Amherst;;53-64;13.9;
101;University of Massachusetts Medical School - Worcester;;53-64;0;
101;University of Montreal;;5-6;11.8;
101;University of Nottingham;;9-17;11.8;
101;University of Sao Paulo;;1;0;
101;University of Southampton;;9-17;0;
101;The University of Sydney;;5-7;14.9;
101;University of Virginia;;53-64;0;
101;University of Wageningen;;5-7;0;
101;Université Paris Diderot - Paris 7;;5-7;11.8;
101;Weizmann Institute of Science;;3;18.2;
151;Erasmus University;;8;0;
151;Fudan University;;4-6;0;
151;George Mason University;;65-77;0;
151;Icahn School of Medicine at Mount Sinai;;65-77;0;
151;Iowa State University;;65-77;0;
151;King Abdulaziz University;;1-2;0;
151;King Saud University;;1-2;0;
151;Kyushu University;;7-8;0;
151;Nanyang Technological University, Singapore (NTU);;2;0;
151;North Carolina State University - Raleigh;;65-77;0;
151;Oregon Health and Science University;;65-77;0;
151;Oregon State University;;65-77;10.5;
151;Tel Aviv University;;4;0;
151;The Chinese University of Hong Kong;;1-2;0;
151;The University of Adelaide;;8;14.9;
151;The University of Calgary;;7;0;
