rank;title
1;Harvard University
2;University of Chicago
3;Massachusetts Institute of Technology (MIT)
4;University of California-Berkeley
5;Princeton University
6;Columbia University
7;Stanford University
8;University of Pennsylvania
9;New York University
10;University of Minnesota, Twin Cities
11;Northwestern University
12;University of Michigan-Ann Arbor
13;Yale University
14;London School of Economics and Political Science
15;University of California, Los Angeles
16;Carnegie Mellon University
17;Duke University
18;University of California, San Diego
19;University of Cambridge
20;University of Oxford
21;Cornell University
22;Arizona State University
23;University of Maryland, College Park
24;University of Toronto
25;Texas A & M University
26;Indiana University Bloomington
26;The Ohio State University - Columbus
28;Erasmus University
29;University of North Carolina at Chapel Hill
30;Pennsylvania State University - University Park
31;The University of Texas at Austin
32;Dartmouth College
33;University of Warwick
33;University of Washington
35;University of Southern California
36;University of Illinois at Urbana-Champaign
37;University of Alberta
38;University of British Columbia
39;London Business School
40;Washington University in St. Louis
41;Boston University
41;Michigan State University
43;The University of Texas at Dallas
43;University of Wisconsin - Madison
45;Tilburg University
46;The Hong Kong University of Science and Technology
46;The Johns Hopkins University
48;University of California, Irvine
49;INSEAD
50;The University of Melbourne
51;Brigham Young University
51;Brown University
51;Emory University
51;George Mason University
51;Georgetown University
51;Georgia Institute of Technology
51;McGill University
51;McMaster University
51;National University of Singapore
51;Purdue University - West Lafayette
51;The University of New South Wales
51;University College London
51;University of Arizona
51;University of California, Santa Barbara
51;University of Colorado at Boulder
51;University of Houston
51;University of Miami
51;University of Notre Dame
51;University of Pittsburgh-Pittsburgh Campus
51;University of Pompeu Fabra
51;University of Rochester
51;University of South Carolina - Columbia
51;University of Virginia
51;University of Zurich
51;Vanderbilt University
101;Aarhus University
101;Boston College
101;Copenhagen Business School
101;Georgia State University
101;Monash University
101;Northeastern University
101;Rice University
101;Rutgers, The State University of New Jersey - New Brunswick
101;Temple University
101;The Chinese University of Hong Kong
101;The Hebrew University of Jerusalem
101;The University of Georgia
101;The University of Manchester
101;The University of Sheffield
101;University of Amsterdam
101;University of Arkansas at Fayetteville
101;University of Bonn
101;University of California, Davis
101;University of Florida
101;University of Groningen
101;University of Montreal
101;University of Oslo
101;University of Utah
101;VU University Amsterdam
101;Western University (The University of Western Ontario)
151;Bocconi University
151;Carlos III University of Madrid
151;Catholic University of Louvain
151;City University London
151;City University of Hong Kong
151;Concordia University
151;Ghent University
151;HEC Paris
151;Iowa State University
151;KU Leuven
151;Maastricht University
151;Nanyang Technological University
151;North Carolina State University - Raleigh
151;Peking University
151;Queen's University
151;Simon Fraser University
151;Southern Methodist University
151;Stockholm School of Economics
151;Swiss Federal Institute of Technology Zurich
151;Technical University Munich
151;Tel Aviv University
151;Texas Christian University
151;The Australian National University
151;The George Washington University
151;The Hong Kong Polytechnic University
151;The Imperial College of Science, Technology and Medicine
151;The University of Calgary
151;The University of Hong Kong
151;The University of Queensland
151;University of Connecticut
151;University of Copenhagen
151;University of East Anglia
151;University of Essex
151;University of Frankfurt
151;University of Illinois at Chicago
151;University of Iowa
151;University of Lausanne
151;University of Mannheim
151;University of Massachusetts Amherst
151;University of Missouri - Columbia
151;University of Munich
151;University of Nebraska - Lincoln
151;University of Nottingham
151;University of Oklahoma - Norman
151;University of St.Gallen
151;University of Sydney
151;University of Tennessee - Knoxville
151;Utrecht University
151;Virginia Polytechnic Institute and State University
151;York University
201;Aalto University
201;Aston University
201;Autonomous University of Barcelona
201;Catholic University of Chile
201;City University New York - Baruch College
201;Clemson University
201;Colorado State University
201;Drexel University
201;Florida State University
201;Griffith University
201;Hong Kong Baptist University
201;Korea University
201;Miami University-Oxford
201;National Taiwan University
201;NHH - Norwegian School of Economics
201;Oklahoma State University
201;Oregon State University
201;Polytechnic University of Valencia
201;Rensselaer Polytechnic Institute
201;Seoul National University
201;Shanghai Jiao Tong University
201;Shanghai University of Finance and Economics
201;State University of New York at Buffalo
201;Stockholm University
201;Syracuse University
201;Texas Tech University
201;The University of Alabama - Tuscaloosa
201;The University of Auckland
201;The University of Edinburgh
201;The University of Memphis
201;The University of Tokyo
201;Tsinghua University
201;Tulane University
201;University of Birmingham
201;University of Exeter
201;University of Gothenburg
201;University of Hawaii at Manoa
201;University of Kansas
201;University of Leeds
201;University of Milan
201;University of Oregon
201;University of Seville
201;University of South Florida
201;University of Southern Denmark
201;University of Sussex
201;University of Technology, Sydney
201;University of Valencia
201;University of Waterloo
201;Vienna University of Economics and Business Administration
201;Xian Jiao Tong University
