rank;title
1;Princeton University
2;Harvard University
3;University of California-Berkeley
4;Pierre and Marie Curie University - Paris 6
5;Stanford University
6;University of Cambridge
7;University of Paris Sud (Paris 11)
8;University of Oxford
9;University of California, Los Angeles
10;King Abdulaziz University
11;Massachusetts Institute of Technology (MIT)
12;University of Minnesota, Twin Cities
13;Texas A & M University
14;Swiss Federal Institute of Technology Zurich
15;University of Michigan-Ann Arbor
15;University of Wisconsin - Madison
17;Kyoto University
18;University of Washington
19;Columbia University
19;Duke University
21;New York University
22;University of California, San Diego
23;University of Chicago
24;University of Paris Dauphine (Paris 9)
25;The University of Texas at Austin
26;Moscow State University
27;The Hebrew University of Jerusalem
28;City University of Hong Kong
29;University of Geneva
30;Ecole Normale Superieure - Paris
30;University Paris Diderot - Paris 7
32;University of Warwick
33;University of Bonn
34;Pennsylvania State University - University Park
35;University of Maryland, College Park
36;University of Vienna
37;California Institute of Technology
37;Peking University
39;Yale University
40;Rutgers, The State University of New Jersey - New Brunswick
41;Georgia Institute of Technology
42;Cornell University
43;The Chinese University of Hong Kong
44;University of Illinois at Urbana-Champaign
45;King Fahd University of Petroleum & Minerals
46;The Imperial College of Science, Technology and Medicine
47;Aix Marseille University
47;Northwestern University
49;Shanghai Jiao Tong University
50;University of Pennsylvania
51;Autonomous University of Madrid
51;Brown University
51;Carnegie Mellon University
51;Ecole Polytechnique
51;Fudan University
51;Gyeongsang National University
51;Harbin Institute of Technology
51;KU Leuven
51;Lanzhou University
51;Norwegian University of Science And Technology
51;Purdue University - West Lafayette
51;Rice University
51;Sun Yat-sen University
51;Technical University of Berlin
51;Technion-Israel Institute of Technology
51;Tel Aviv University
51;The Hong Kong Polytechnic University
51;The Johns Hopkins University
51;The Ohio State University - Columbus
51;The University of Tokyo
51;University of California, Davis
51;University of Colorado at Boulder
51;University of North Carolina at Chapel Hill
51;University of Santiago Compostela
51;University of Toronto
101;Humboldt University of Berlin
101;Indiana University Bloomington
101;National Sun Yat-sen University
101;North Carolina State University - Raleigh
101;Southeast University
101;The University of Melbourne
101;The University of New South Wales
101;Tianjin Polytechnic University
101;Tsinghua University
101;University of Bristol
101;University of California, Irvine
101;University of Granada
101;University of Hannover
101;University of Illinois at Chicago
101;University of Lisbon
101;University of Milan
101;University of Muenster
101;University of Pisa
101;University of Roma - La Sapienza
101;University of Sao Paulo
101;University of Utah
101;University of Victoria
101;University of Zurich
101;Vanderbilt University
101;Zhejiang University
151;Autonomous University of Barcelona
151;Beijing Normal University
151;Bielefeld University
151;Chongqing University
151;Complutense University of Madrid
151;Dalian University of Technology
151;Ecole Normale Superieure - Lyon
151;Heidelberg University
151;Huazhong University of Science and Technology
151;Kaohsiung Medical University
151;King Saud University
151;Michigan State University
151;National University of Singapore
151;Northeast Normal University
151;Paul Sabatier University (Toulouse 3)
151;Polytechnic Institute of Milan
151;Polytechnic University of Valencia
151;RWTH Aachen University
151;Saint Petersburg State University
151;Scuola Normale Superiore - Pisa
151;Seoul National University
151;Shandong University
151;Sichuan University
151;Stony Brook University
151;Swiss Federal Institute of Technology Lausanne
151;The University of Glasgow
151;The University of Manchester
151;Tokyo Institute of Technology
151;University College London
151;University of British Columbia
151;University of California, Santa Barbara
151;University of Copenhagen
151;University of Florida
151;University of Houston
151;University of Iowa
151;University of Lorraine
151;University of Munich
151;University of Nice Sophia Antipolis
151;University of Padua
151;University of Parma
151;University of Pavia
151;University of Pittsburgh-Pittsburgh Campus
151;University of Rennes 1
151;University of Seville
151;University of Southern California
151;University of Sydney
151;University of the Basque Country
151;Waseda University
151;Xiamen University
151;Xian Jiao Tong University
201;Aarhus University
201;Babes-Bolyai University
201;Boston University
201;Central South University
201;Charles University in Prague
201;Claude Bernard University Lyon 1
201;East China Normal University
201;Hong Kong Baptist University
201;International School for Advanced Studies
201;Iowa State University
201;Jilin University
201;Louisiana State University - Baton Rouge
201;McGill University
201;Memorial University of Newfoundland
201;Nanjing University
201;Nankai University
201;National University of Malaysia
201;Paris 13 University
201;Polytechnic University of Catalonia
201;Polytechnic University of Turin
201;Shanghai Normal University
201;Shanghai University
201;South China Normal University
201;Technical University Munich
201;The Australian National University
201;The University of Auckland
201;University of Belgrade
201;University of Bologna
201;University of Bordeaux
201;University of Calabria
201;University of Campinas
201;University of Cergy-Pontoise
201;University of Chile
201;University of Delaware
201;University of Electronic Science and Technology of China
201;University of Helsinki
201;University of Kansas
201;University of Massachusetts Amherst
201;University of Montreal
201;University of Notre Dame
201;University of Oslo
201;University of Roma - Tor Vergata
201;University of Science and Technology of China
201;University of Tuebingen
201;University of Valladolid
201;University of Virginia
201;University of Waterloo
201;Wayne State University
201;Wuhan University
201;Yonsei University
