rank;title
1;Harvard University
2;University of Chicago
3;Massachusetts Institute of Technology (MIT)
4;University of California-Berkeley
5;Columbia University
6;Princeton University
7;Stanford University
8;New York University
9;Yale University
10;University of Michigan-Ann Arbor
11;University of Pennsylvania
12;University of Minnesota, Twin Cities
13;Northwestern University
14;London School of Economics and Political Science
15;University of Oxford
16;University of California, Los Angeles
17;Duke University
18;University of Cambridge
19;University of North Carolina at Chapel Hill
20;Carnegie Mellon University
21;The University of Texas at Austin
22;University of Maryland, College Park
23;University of California, San Diego
24;Pennsylvania State University - University Park
25;Arizona State University
25;The Ohio State University - Columbus
27;Cornell University
28;University of British Columbia
29;University of Toronto
30;Washington University in St. Louis
31;University of Washington
32;Indiana University Bloomington
33;University of Wisconsin - Madison
33;Vanderbilt University
35;University of Southern California
36;Michigan State University
36;Texas A & M University
38;University of Illinois at Urbana-Champaign
39;University of Amsterdam
40;The Johns Hopkins University
41;University of Warwick
42;University of California, Irvine
43;Dartmouth College
44;Erasmus University
45;University College London
46;The University of Manchester
47;VU University Amsterdam
48;George Mason University
48;McMaster University
50;University of Alberta
51;Boston University
51;Brown University
51;Emory University
51;Florida State University
51;Georgetown University
51;KU Leuven
51;London Business School
51;McGill University
51;Rutgers, The State University of New Jersey - New Brunswick
51;The Hebrew University of Jerusalem
51;The University of Georgia
51;The University of Melbourne
51;The University of Texas at Dallas
51;University of Arizona
51;University of California, Davis
51;University of California, Santa Barbara
51;University of Colorado at Boulder
51;University of Essex
51;University of Florida
51;University of Miami
51;University of Oslo
51;University of Pittsburgh-Pittsburgh Campus
51;University of Virginia
51;University of Zurich
51;Utrecht University
101;Aarhus University
101;Copenhagen Business School
101;Georgia Institute of Technology
101;Georgia State University
101;Leiden University
101;Maastricht University
101;Monash University
101;National University of Singapore
101;Purdue University - West Lafayette
101;SUNY at Albany
101;Temple University
101;The Australian National University
101;The George Washington University
101;The Hong Kong University of Science and Technology
101;The University of Queensland
101;The University of Sheffield
101;Tilburg University
101;University of Copenhagen
101;University of Groningen
101;University of Illinois at Chicago
101;University of Montreal
101;University of Rochester
101;University of South Carolina - Columbia
101;University of Sydney
101;University of Utah
151;Boston College
151;Brigham Young University
151;City University of Hong Kong
151;Durham University
151;Ghent University
151;King's College London
151;Lund University
151;Nanyang Technological University
151;North Carolina State University - Raleigh
151;Oregon State University
151;Queen's University
151;Radboud University Nijmegen
151;Rice University
151;Simon Fraser University
151;Stockholm University
151;Swiss Federal Institute of Technology Zurich
151;Tel Aviv University
151;The Chinese University of Hong Kong
151;The Hong Kong Polytechnic University
151;The Imperial College of Science, Technology and Medicine
151;The University of Edinburgh
151;The University of Hong Kong
151;The University of New South Wales
151;University of Arkansas at Fayetteville
151;University of Birmingham
151;University of Bonn
151;University of Cincinnati
151;University of Connecticut
151;University of East Anglia
151;University of Exeter
151;University of Hawaii at Manoa
151;University of Houston
151;University of Iowa
151;University of Kentucky
151;University of Leeds
151;University of Mannheim
151;University of Massachusetts Amherst
151;University of Missouri - Columbia
151;University of Munich
151;University of North Carolina at Charlotte
151;University of Notre Dame
151;University of Nottingham
151;University of Oklahoma - Norman
151;University of Oregon
151;University of Pompeu Fabra
151;University of Southampton
151;Uppsala University
151;Virginia Polytechnic Institute and State University
151;Western University (The University of Western Ontario)
151;York University
201;Autonomous University of Barcelona
201;Cardiff University
201;Catholic University of Louvain
201;Clemson University
201;Colorado State University
201;CUNY Graduate School and University Center
201;Drexel University
201;Free University Berlin
201;Griffith University
201;Iowa State University
201;Kent State University
201;Lancaster University
201;Louisiana State University - Baton Rouge
201;National Taiwan University
201;Newcastle University
201;Northeastern University
201;Peking University
201;Polytechnic University of Valencia
201;Seoul National University
201;Southern Methodist University
201;State University of New York at Buffalo
201;Stony Brook University
201;Syracuse University
201;The University of Auckland
201;The University of Calgary
201;The University of Glasgow
201;The University of Tokyo
201;University of Antwerp
201;University of Barcelona
201;University of Bergen
201;University of Bristol
201;University of California, San Francisco
201;University of California, Santa Cruz
201;University of Frankfurt
201;University of Gothenburg
201;University of Kansas
201;University of Lausanne
201;University of Nebraska - Lincoln
201;University of Ottawa
201;University of South Florida
201;University of Surrey
201;University of Sussex
201;University of Tennessee - Knoxville
201;University of the Witwatersrand
201;University of Twente
201;University of Wageningen
201;University of Waterloo
201;University of Wollongong
201;University of York
201;Utah State University
