rank_mba;3yr;bschool;country;salary;increase;title
1;1;Harvard Business School;US;178,300;113;Harvard University
2;2;Stanford Graduate School of Business;US;184,566;100;Stanford University
3;4;London Business SchoolFeatured business school;UK;156,553;107;King's College London (KCL)
4;3;University of Pennsylvania: Wharton;US;170,472;99;University of Pennsylvania
5;5;Columbia Business School;US;164,181;116;Columbia University
5;6;Insead;France / Singapore;148,183;87;
7;8;Iese Business School;Spain;143,168;125;University of Navarra
8;8;MIT: Sloan;US;157,262;101;Massachusetts Institute of Technology (MIT)
9;10;University of Chicago: Booth;US;156,004;100;University of Chicago
10;15;Yale School of Management;US;150,880;114;Yale University
11;12;University of California at Berkeley: Haas;US;149,487;91;University of California, Berkeley (UCB)
12;15;IMD;Switzerland;142,446;72;
13;11;IE Business SchoolFeatured business school;Spain;146,933;112;
14;11;HKUST Business School;China;125,060;139;The Hong Kong University of Science and Technology
15;15;Northwestern University: Kellogg;US;157,719;94;Northwestern University
16;19;Cambridge Judge Business SchoolFeatured business school;UK;144,350;92;University of Cambridge
17;17;Duke University: Fuqua;US;141,772;100;Duke University
17;18;New York University: Stern;US;140,662;97;New York University (NYU)
17;19;Ceibs;China;127,117;156;
20;18;Dartmouth College: Tuck;US;150,754;101;Dartmouth College
21;20;HEC Paris;France;120,016;104;
22;26;Esade Business SchoolFeatured business school;Spain;120,718;120;
23;22;University of Oxford: SaïdFeatured business school;UK;133,315;91;University of Oxford
23;27;University of Michigan: Ross;US;136,828;107;University of Michigan
25;27;Warwick Business School;UK;119,121;87;The University of Warwick
26;27;UCLA: Anderson;US;140,712;97;University of California, Los Angeles (UCLA)
27;25;Cornell University: Johnson;US;136,707;103;Cornell University
27;33;University of Virginia: Darden;US;142,131;104;University of Virginia
29;32;University of Hong Kong;China;113,038;109;The University of Hong Kong
30;22;Indian Institute of Management, Ahmedabad;India;157,459;86;
31;37;SDA Bocconi;Italy;112,901;112;
32;30;National University of Singapore Business School;Singapore;91,358;147;National University of Singapore (NUS)
33;45;University of North Carolina: Kenan-Flagler;US;124,669;101;University of North Carolina, Chapel Hill
34;37;Carnegie Mellon: Tepper;US;129,296;98;Carnegie Mellon University
35;39;Rice University: Jones;US;118,473;120;Rice University
36;30;Indian School of Business;India;117,308;130;
36;40;Georgetown University: McDonough;US;124,990;98;Georgetown University
38;35;Nanyang Business School;Singapore;96,202;112;Nanyang Technological University, Singapore (NTU)
39;34;Rotterdam School of Management, Erasmus University;Netherlands;98,771;94;Erasmus University Rotterdam
39;45;University of Texas at Austin: McCombs;US;129,225;89;University of Texas at Austin
41;40;City University: CassFeatured business school;UK;110,260;76;City University London
41;43;Emory University: Goizueta;US;122,468;103;Emory University
43;34;Manchester Business SchoolFeatured business school;UK;106,535;96;The University of Manchester
44;48;University of Illinois at Urbana-Champaign;US;112,482;111;University of Illinois at Urbana-Champaign
45;54;Sungkyunkwan University GSB;South Korea;110,828;86;Sungkyunkwan University
46;40;Cranfield School of ManagementFeatured business school;UK;120,941;75;
47;49;Indiana University: Kelley;US;112,353;116;Indiana University Bloomington
48;61;University of California at Irvine: Merage;US;106,764;100;UC Irvine - Extension, English and Certificates for Internationals
49;46;Imperial College Business SchoolFeatured business school;UK;103,604;68;Imperial College London
50;53;University of Maryland: Smith;US;107,236;93;University of Maryland, College Park
51;47;University of Toronto: Rotman;Canada;90,304;85;University of Toronto
52;-;The Lisbon MBA;Portugal;123,062;82;Universidade NOVA de Lisboa
52;64;Michigan State University: Broad;US;107,808;106;Michigan State University
54;-;University of Minnesota: Carlson;US;110,390;95;University of Minnesota
55;54;University of Rochester: Simon;US;110,607;115;University of Rochester
56;61;Purdue University: Krannert;US;106,320;109;Purdue University
57;59;Peking University: Guanghua;China;81,914;151;Peking University
58;70;University of Washington: Foster;US;106,632;96;University of Washington
59;58;Vanderbilt University: Owen;US;117,484;92;Vanderbilt University
59;62;University of Cape Town GSB;South Africa;140,069;79;University of Cape Town
61;61;Hult International Business School;US / UK / UAE / China;105,844;91;
62;50;AGSM at UNSW Business School;Australia;111,280;72;The University of New South Wales
62;63;Pennsylvania State University: Smeal;US;105,988;117;Pennsylvania State University
64;60;Washington University: Olin;US;107,556;96;Washington University in St. Louis
65;69;University of Southern California: Marshall;US;122,308;84;University of Southern California
66;-;Mannheim Business SchoolFeatured business school;Germany;97,962;73;Universität Mannheim
66;59;York University: Schulich;Canada;89,332;88;York University
68;-;Indian Institute of Management, Bangalore;India;125,249;81;
68;59;Melbourne Business SchoolFeatured business school;Australia;102,068;68;The University of Melbourne
70;69;Ohio State University: Fisher;US;102,899;99;Ohio State University
71;68;Georgia Institute of Technology: Scheller;US;108,033;93;Georgia Institute of Technology
72;70;University of British Columbia: Sauder;Canada;88,881;81;University of British Columbia
73;-;University of Strathclyde Business School;UK;95,716;81;University of Strathclyde
74;-;Tias Business School;Netherlands;89,848;84;
75;65;Texas A & M University: Mays;US;108,699;99;Texas A&M University
75;82;Boston University School of Management;US;108,256;93;Boston University
77;-;Shanghai Jiao Tong University: Antai;China;84,890;166;Shanghai Jiao Tong University
77;73;Lancaster University Management School;UK;89,009;86;Lancaster University
79;65;Coppead;Brazil;88,256;138;Universidade Federal do Rio de Janeiro
80;-;University of Pittsburgh: Katz;US;86,410;132;University of Pittsburgh
81;82;Wisconsin School of Business;US;110,338;104;University of Wisconsin-Madison
82;81;Boston College: Carroll;US;109,614;87;Boston College
