"country_tid";"rank_accounting";"region_tid";"score_accounting";"title"
257.0;1.0;213.0;97.5;"Harvard University"
208.0;2.0;140.0;93.8;"University of Oxford"
208.0;3.0;140.0;92.8;"London School of Economics and Political Science (LSE)"
208.0;4.0;140.0;91.7;"University of Cambridge"
257.0;5.0;213.0;89.1;"Stanford University"
257.0;6.0;213.0;88.2;"Massachusetts Institute of Technology (MIT) "
208.0;7.0;140.0;87.5;"London Business School"
319.0;8.0;317.0;85.8;"The University of Melbourne"
257.0;9.0;213.0;85.8;"University of Chicago"
319.0;10.0;317.0;85.0;"The University of New South Wales"
257.0;11.0;213.0;84.5;"University of Pennsylvania"
124.0;12.0;71.0;84.3;"National University of Singapore (NUS)"
319.0;13.0;317.0;82.9;"The University of Sydney"
257.0;14.0;213.0;81.7;"University of California, Berkeley (UCB)"
257.0;15.0;213.0;81.5;"New York University (NYU)"
257.0;16.0;213.0;81.2;"Yale University"
208.0;17.0;140.0;81.0;"The University of Manchester"
94.0;18.0;71.0;80.4;"The University of Hong Kong"
94.0;19.0;71.0;79.6;"The Hong Kong University of Science and Technology"
319.0;20.0;317.0;79.1;"Monash University"
257.0;21.0;213.0;79.0;"Columbia University"
319.0;22.0;317.0;77.9;"The Australian National University"
100.0;23.0;71.0;77.5;"The University of Tokyo"
257.0;24.0;213.0;76.4;"Princeton University"
334.0;25.0;317.0;76.4;"The University of Auckland"
319.0;26.0;317.0;76.0;"The University of Queensland"
94.0;27.0;71.0;74.2;"The Chinese University of Hong Kong"
124.0;28.0;71.0;74.1;"Nanyang Technological University, Singapore (NTU)"
208.0;29.0;140.0;74.1;"The University of Warwick"
87.0;30.0;71.0;74.0;"Peking University"
174.0;31.0;140.0;73.5;"Università Bocconi"
208.0;32.0;140.0;73.4;"Imperial College London"
257.0;33.0;213.0;73.3;"University of Michigan"
152.0;34.0;140.0;71.4;"Copenhagen Business School"
257.0;35.0;213.0;71.4;"Duke University"
257.0;36.0;213.0;71.1;"University of Texas at Austin"
187.0;37.0;140.0;71.0;"Erasmus University Rotterdam"
222.0;38.0;213.0;70.8;"University of Toronto"
257.0;39.0;213.0;70.5;"Cornell University"
106.0;40.0;71.0;69.2;"Seoul National University"
257.0;41.0;213.0;68.9;"Northwestern University"
222.0;42.0;213.0;68.8;"University of British Columbia"
205.0;43.0;140.0;68.2;"ETH Zurich - Swiss Federal Institute of Technology"
87.0;44.0;71.0;67.7;"Tsinghua University"
208.0;45.0;140.0;67.1;"The University of Nottingham"
208.0;46.0;140.0;66.4;"Lancaster University"
319.0;47.0;317.0;66.3;"The University of Adelaide"
128.0;48.0;71.0;66.0;"National Taiwan University (NTU)"
208.0;49.0;140.0;66.0;"University of Edinburgh"
203.0;50.0;140.0;65.3;"Stockholm School of Economics"
156.0;51.0;140.0;0.0;"Aalto University"
334.0;52.0;317.0;0.0;"Auckland University of Technology (AUT)"
257.0;53.0;213.0;0.0;"Boston College"
257.0;54.0;213.0;0.0;"Boston University"
208.0;55.0;140.0;0.0;"Cardiff University"
257.0;56.0;213.0;0.0;"Carnegie Mellon University"
208.0;57.0;140.0;0.0;"City University London"
94.0;58.0;71.0;0.0;"City University of Hong Kong"
319.0;59.0;317.0;0.0;"Curtin University"
87.0;60.0;71.0;0.0;"Fudan University"
106.0;61.0;71.0;0.0;"KAIST - Korea Advanced Institute of Science & Technology"
146.0;62.0;140.0;0.0;"KU Leuven"
106.0;63.0;71.0;0.0;"Korea University"
162.0;64.0;140.0;0.0;"Ludwig-Maximilians-Universität München"
203.0;65.0;140.0;0.0;"Lund University"
187.0;66.0;140.0;0.0;"Maastricht University"
319.0;67.0;317.0;0.0;"Macquarie University"
334.0;68.0;317.0;0.0;"Massey University"
257.0;69.0;213.0;0.0;"Michigan State University"
100.0;70.0;71.0;0.0;"Osaka University"
257.0;71.0;213.0;0.0;"Pennsylvania State University"
257.0;72.0;213.0;0.0;"Purdue University"
319.0;73.0;317.0;0.0;"Queensland University of Technology (QUT)"
319.0;74.0;317.0;0.0;"RMIT University"
87.0;75.0;71.0;0.0;"Shanghai Jiao Tong University"
124.0;76.0;71.0;0.0;"Singapore Management University"
257.0;77.0;213.0;0.0;"Texas A&M University"
94.0;78.0;71.0;0.0;"The Hong Kong Polytechnic University"
319.0;79.0;317.0;0.0;"The University of Western Australia"
187.0;80.0;140.0;0.0;"Tilburg University"
171.0;81.0;140.0;0.0;"Trinity College Dublin"
199.0;82.0;140.0;0.0;"Universidad Carlos III de Madrid"
355.0;83.0;349.0;0.0;"Universidad de Chile"
162.0;84.0;140.0;0.0;"Universität Mannheim"
158.0;85.0;140.0;0.0;"Université Paris 1 Panthéon-Sorbonne "
171.0;86.0;140.0;0.0;"University College Dublin"
222.0;87.0;213.0;0.0;"University of Alberta"
187.0;88.0;140.0;0.0;"University of Amsterdam"
208.0;89.0;140.0;0.0;"University of Birmingham"
208.0;90.0;140.0;0.0;"University of Glasgow"
257.0;91.0;213.0;0.0;"University of Illinois at Urbana-Champaign"
257.0;92.0;213.0;0.0;"University of North Carolina, Chapel Hill"
334.0;93.0;317.0;0.0;"University of Otago"
257.0;94.0;213.0;0.0;"University of Southern California"
205.0;95.0;140.0;0.0;"University of St.Gallen (HSG)"
208.0;96.0;140.0;0.0;"University of Strathclyde"
319.0;97.0;317.0;0.0;"University of Technology, Sydney"
257.0;98.0;213.0;0.0;"University of Wisconsin-Madison"
205.0;99.0;140.0;0.0;"University of Zurich (UZH)"
143.0;100.0;140.0;0.0;"WU (Vienna University of Economics and Business)"
152.0;101.0;140.0;0.0;"Aarhus University"
208.0;102.0;140.0;0.0;"Aston University"
166.0;103.0;140.0;0.0;"Athens University of Economy And Business"
319.0;104.0;317.0;0.0;"Bond University"
319.0;105.0;317.0;0.0;"Deakin University"
128.0;106.0;71.0;0.0;"Feng Chia University"
257.0;107.0;213.0;0.0;"Georgetown University"
257.0;108.0;213.0;0.0;"Georgia Institute of Technology"
106.0;109.0;71.0;0.0;"Hanyang University"
100.0;110.0;71.0;0.0;"Hitotsubashi University"
257.0;111.0;213.0;0.0;"Indiana University Bloomington"
257.0;112.0;213.0;0.0;"Johns Hopkins University"
106.0;113.0;71.0;0.0;"Kyung Hee University"
208.0;114.0;140.0;0.0;"Loughborough University"
222.0;115.0;213.0;0.0;"McMaster University"
128.0;116.0;71.0;0.0;"National Central University"
128.0;117.0;71.0;0.0;"National Cheng Kung University"
128.0;118.0;71.0;0.0;"National Chengchi University"
128.0;119.0;71.0;0.0;"National Chiao Tung University"
87.0;120.0;71.0;0.0;"Shanghai University"
87.0;121.0;71.0;0.0;"Shanghai University of Finance and Economics"
106.0;122.0;71.0;0.0;"Sogang University"
87.0;123.0;71.0;0.0;"Sun Yat-sen University"
222.0;124.0;213.0;0.0;"Western University"
87.0;125.0;71.0;0.0;"Tongji University"
136.0;126.0;71.0;0.0;"United Arab Emirates University"
174.0;127.0;140.0;0.0;"University of Padua"
