"country_tid";"rank_agriculture";"region_tid";"score_agriculture";"title"
257.0;1.0;213.0;98.2;"University of California, Davis"
187.0;2.0;140.0;95.5;"Wageningen University"
257.0;3.0;213.0;93.0;"Cornell University"
257.0;4.0;213.0;86.2;"University of Wisconsin-Madison"
257.0;5.0;213.0;83.6;"Iowa State University"
257.0;6.0;213.0;83.0;"University of California, Berkeley (UCB)"
257.0;7.0;213.0;82.9;"Oregon State University"
257.0;8.0;213.0;81.3;"Purdue University"
257.0;9.0;213.0;80.2;"Texas A&M University"
257.0;10.0;213.0;79.1;"Ohio State University"
257.0;11.0;213.0;77.8;"University of Massachusetts Amherst"
208.0;12.0;140.0;77.8;"University of Reading"
100.0;13.0;71.0;77.7;"The University of Tokyo"
257.0;14.0;213.0;77.4;"North Carolina State University"
205.0;15.0;140.0;77.0;"ETH Zurich - Swiss Federal Institute of Technology"
257.0;16.0;213.0;77.0;"Pennsylvania State University"
257.0;17.0;213.0;76.5;"University of Minnesota"
319.0;18.0;317.0;76.4;"The University of Queensland"
334.0;19.0;317.0;76.3;"Massey University"
319.0;20.0;317.0;75.8;"The Australian National University"
257.0;21.0;213.0;75.3;"Michigan State University"
353.0;22.0;349.0;75.2;"Universidade estadual de Campinas(Unicamp)"
257.0;23.0;213.0;75.0;"University of Florida"
222.0;24.0;213.0;74.9;"University of Guelph"
100.0;25.0;71.0;74.0;"Kyoto University"
257.0;26.0;213.0;73.0;"Colorado State University"
353.0;27.0;349.0;72.9;"Universidade de São Paulo (USP)"
257.0;28.0;213.0;72.5;"University of Illinois at Urbana-Champaign"
319.0;29.0;317.0;72.3;"The University of Adelaide"
158.0;30.0;140.0;72.0;"Agro, ParisTech"
152.0;31.0;140.0;71.7;"University of Copenhagen"
222.0;32.0;213.0;71.6;"McGill University"
143.0;33.0;140.0;71.3;"University of Natural Resources and Applied Life Sciences Vienna "
208.0;34.0;140.0;71.2;"The University of Nottingham"
257.0;35.0;213.0;70.8;"Yale University"
319.0;36.0;317.0;70.7;"The University of Melbourne"
222.0;37.0;213.0;70.6;"University of British Columbia"
257.0;38.0;213.0;70.4;"University of Missouri, Columbia (Mizzou)"
100.0;39.0;71.0;70.1;"Hokkaido University"
