"country_tid";"rank_chemical";"region_tid";"score_chemical";"title"
257.0;1.0;213.0;95.9;"Massachusetts Institute of Technology (MIT) "
257.0;2.0;213.0;91.7;"University of California, Berkeley (UCB)"
257.0;3.0;213.0;90.9;"Stanford University"
208.0;4.0;140.0;89.9;"University of Cambridge"
124.0;5.0;71.0;87.3;"National University of Singapore (NUS)"
208.0;6.0;140.0;87.1;"Imperial College London"
100.0;7.0;71.0;85.6;"The University of Tokyo"
187.0;8.0;140.0;84.3;"Delft University of Technology"
100.0;9.0;71.0;84.3;"Kyoto University"
257.0;10.0;213.0;84.2;"California Institute of Technology (Caltech)"
205.0;11.0;140.0;84.0;"ETH Zurich - Swiss Federal Institute of Technology"
87.0;12.0;71.0;83.2;"Tsinghua University"
208.0;13.0;140.0;82.0;"University of Oxford"
257.0;14.0;213.0;82.0;"University of Texas at Austin"
257.0;15.0;213.0;81.8;"Princeton University"
319.0;16.0;317.0;81.3;"The University of Melbourne"
106.0;17.0;71.0;80.9;"Seoul National University"
257.0;18.0;213.0;80.8;"University of Minnesota"
257.0;19.0;213.0;80.3;"University of Wisconsin-Madison"
319.0;20.0;317.0;79.9;"The University of Queensland"
106.0;21.0;71.0;79.2;"KAIST - Korea Advanced Institute of Science & Technology"
319.0;22.0;317.0;78.3;"Monash University"
208.0;23.0;140.0;78.3;"The University of Manchester"
257.0;24.0;213.0;77.9;"Northwestern University"
124.0;25.0;71.0;77.6;"Nanyang Technological University, Singapore (NTU)"
94.0;26.0;71.0;77.5;"The Hong Kong University of Science and Technology"
128.0;27.0;71.0;77.1;"National Taiwan University (NTU)"
100.0;28.0;71.0;77.0;"Tohoku University"
257.0;29.0;213.0;76.6;"Georgia Institute of Technology"
257.0;30.0;213.0;76.6;"University of Pennsylvania"
100.0;31.0;71.0;76.5;"Osaka University"
106.0;32.0;71.0;76.5;"Pohang University of Science And Technology (POSTECH)"
257.0;33.0;213.0;75.7;"University of California, Los Angeles (UCLA)"
257.0;34.0;213.0;75.7;"Yale University"
257.0;35.0;213.0;75.2;"University of Illinois at Urbana-Champaign"
162.0;36.0;140.0;74.9;"RWTH Aachen University"
208.0;37.0;140.0;74.7;"UCL (University College London)"
257.0;38.0;213.0;74.4;"Purdue University"
257.0;39.0;213.0;74.1;"Cornell University"
128.0;40.0;71.0;74.1;"National Tsing Hua University"
152.0;41.0;140.0;73.7;"Technical University of Denmark"
100.0;42.0;71.0;73.7;"Tokyo Institute of Technology"
257.0;43.0;213.0;73.0;"University of California, Santa Barbara (UCSB)"
257.0;44.0;213.0;72.9;"University of Michigan"
205.0;45.0;140.0;72.8;"EPFL (Ecole Polytechnique Fédérale de Lausanne)"
319.0;46.0;317.0;72.1;"The University of New South Wales"
222.0;47.0;213.0;72.1;"University of Toronto"
162.0;48.0;140.0;72.0;"Karlsruhe Institute of Technology (KIT)"
162.0;49.0;140.0;72.0;"Technische Universität München"
106.0;50.0;71.0;71.9;"Korea University"
257.0;51.0;213.0;0.0;"Carnegie Mellon University"
203.0;52.0;140.0;0.0;"Chalmers University of Technology"
131.0;53.0;71.0;0.0;"Chulalongkorn University"
257.0;54.0;213.0;0.0;"Columbia University"
