"country_tid";"rank_civil";"region_tid";"score_civil";"title"
257.0;1.0;213.0;87.0;"Massachusetts Institute of Technology (MIT) "
257.0;2.0;213.0;86.8;"University of Illinois at Urbana-Champaign"
257.0;3.0;213.0;85.7;"University of California, Berkeley (UCB)"
100.0;4.0;71.0;83.9;"The University of Tokyo"
208.0;5.0;140.0;83.9;"University of Cambridge"
257.0;6.0;213.0;83.8;"University of Texas at Austin"
124.0;7.0;71.0;83.6;"National University of Singapore (NUS)"
100.0;8.0;71.0;83.1;"Kyoto University"
208.0;9.0;140.0;82.8;"Imperial College London"
257.0;11.0;213.0;82.2;"Stanford University"
94.0;10.0;71.0;82.3;"The University of Hong Kong"
94.0;12.0;71.0;81.9;"The Hong Kong University of Science and Technology"
205.0;13.0;140.0;81.0;"ETH Zurich - Swiss Federal Institute of Technology"
187.0;14.0;140.0;80.6;"Delft University of Technology"
94.0;15.0;71.0;80.0;"The Hong Kong Polytechnic University"
319.0;16.0;317.0;80.0;"The University of Sydney"
174.0;17.0;140.0;79.3;"Politecnico di Milano"
319.0;18.0;317.0;78.4;"The University of New South Wales"
334.0;19.0;317.0;77.9;"University of Canterbury"
87.0;20.0;71.0;77.8;"Tsinghua University"
124.0;21.0;71.0;77.6;"Nanyang Technological University, Singapore (NTU)"
87.0;22.0;71.0;77.6;"Tongji University"
257.0;23.0;213.0;77.2;"Purdue University"
205.0;24.0;140.0;75.9;"EPFL (Ecole Polytechnique Fédérale de Lausanne)"
257.0;25.0;213.0;75.9;"Georgia Institute of Technology"
257.0;26.0;213.0;75.8;"Texas A&M University"
257.0;27.0;213.0;75.5;"University of California, San Diego (UCSD)"
166.0;28.0;140.0;74.2;"National Technical University of Athens"
100.0;29.0;71.0;73.9;"Tokyo Institute of Technology"
319.0;30.0;317.0;73.8;"Monash University"
94.0;31.0;71.0;73.0;"City University of Hong Kong"
106.0;32.0;71.0;72.5;"KAIST - Korea Advanced Institute of Science & Technology"
222.0;33.0;213.0;71.7;"University of Toronto"
257.0;34.0;213.0;71.6;"University of California, Davis"
128.0;35.0;71.0;71.2;"National Taiwan University (NTU)"
199.0;36.0;140.0;71.1;"Universitat Politècnica de Catalunya "
257.0;37.0;213.0;71.0;"Cornell University"
106.0;38.0;71.0;70.8;"Seoul National University"
208.0;39.0;140.0;70.6;"University of Oxford"
162.0;40.0;140.0;70.4;"Karlsruhe Institute of Technology (KIT)"
174.0;41.0;140.0;70.2;"Politecnico di Torino"
257.0;42.0;213.0;70.1;"California Institute of Technology (Caltech)"
319.0;43.0;317.0;70.1;"The University of Queensland"
319.0;44.0;317.0;69.5;"The University of Melbourne"
319.0;45.0;317.0;69.4;"The University of Newcastle, Australia (UoN)"
203.0;46.0;140.0;69.2;"KTH Royal Institute of Technology"
319.0;47.0;317.0;68.9;"Queensland University of Technology (QUT)"
152.0;48.0;140.0;68.7;"Technical University of Denmark"
96.0;49.0;71.0;68.6;"Indian Institute of Technology, Madras (IITM)"
96.0;50.0;71.0;68.5;"Indian Institute of Technology Bombay (IITB)"
222.0;51.0;213.0;68.5;"University of British Columbia"
166.0;52.0;140.0;0.0;"Aristotle University of Thessaloniki"
257.0;53.0;213.0;0.0;"Columbia University"
151.0;54.0;140.0;0.0;"Czech Technical University In Prague"
106.0;55.0;71.0;0.0;"Hanyang University"
87.0;56.0;71.0;0.0;"Harbin Institute of Technology"
96.0;57.0;71.0;0.0;"Indian Institute of Science"
96.0;58.0;71.0;0.0;"Indian Institute of Technology Delhi (IITD)"
96.0;59.0;71.0;0.0;"Indian Institute of Technology Kanpur (IITK)"
96.0;60.0;71.0;0.0;"Indian Institute of Technology, Kharagpur"
96.0;61.0;71.0;0.0;"Indian Institute of Technology Roorkee (IITR)"
134.0;62.0;71.0;0.0;"Istanbul Technical University"
146.0;63.0;140.0;0.0;"KU Leuven"
77.0;64.0;71.0;0.0;"King Fahd University of Petroleum & Minerals"
106.0;65.0;71.0;0.0;"Korea University"
208.0;66.0;140.0;0.0;"Loughborough University"
203.0;67.0;140.0;0.0;"Lund University"
134.0;68.0;71.0;0.0;"Middle East Technical University"
128.0;69.0;71.0;0.0;"National Cheng Kung University"
257.0;70.0;213.0;0.0;"Northwestern University"
87.0;71.0;71.0;0.0;"Peking University"
257.0;72.0;213.0;0.0;"Pennsylvania State University"
257.0;73.0;213.0;0.0;"Princeton University"
174.0;74.0;140.0;0.0;"Sapienza University of Rome"
87.0;75.0;71.0;0.0;"Shanghai Jiao Tong University"
106.0;76.0;71.0;0.0;"Sungkyunkwan University"
162.0;77.0;140.0;0.0;"Technische Universität München"
319.0;78.0;317.0;0.0;"The University of Adelaide"
334.0;79.0;317.0;0.0;"The University of Auckland"
208.0;80.0;140.0;0.0;"The University of Manchester"
208.0;81.0;140.0;0.0;"The University of Sheffield"
319.0;82.0;317.0;0.0;"The University of Western Australia"
100.0;83.0;71.0;0.0;"Tohoku University"
208.0;84.0;140.0;0.0;"UCL (University College London)"
241.0;85.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
