"country_tid";"rank_communication";"region_tid";"score_communication";"title"
257.0;1.0;213.0;96.5;"University of Wisconsin-Madison"
208.0;2.0;140.0;90.0;"London School of Economics and Political Science (LSE)"
257.0;3.0;213.0;88.7;"University of California, Berkeley (UCB)"
257.0;4.0;213.0;88.6;"University of Southern California"
257.0;5.0;213.0;88.5;"University of Texas at Austin"
124.0;6.0;71.0;86.9;"Nanyang Technological University, Singapore (NTU)"
257.0;7.0;213.0;86.8;"University of Illinois at Urbana-Champaign"
257.0;8.0;213.0;86.4;"Stanford University"
124.0;9.0;71.0;85.2;"National University of Singapore (NUS)"
257.0;11.0;213.0;82.8;"Michigan State University"
187.0;10.0;140.0;84.0;"University of Amsterdam"
257.0;12.0;213.0;81.3;"University of Pennsylvania"
257.0;13.0;213.0;81.2;"Columbia University"
257.0;14.0;213.0;80.4;"Northwestern University"
257.0;15.0;213.0;80.0;"University of California, Los Angeles (UCLA)"
257.0;16.0;213.0;78.9;"Massachusetts Institute of Technology (MIT) "
257.0;17.0;213.0;78.8;"Cornell University"
257.0;18.0;213.0;78.7;"New York University (NYU)"
319.0;19.0;317.0;78.6;"Monash University"
94.0;20.0;71.0;78.6;"The Chinese University of Hong Kong"
257.0;21.0;213.0;78.6;"University of Michigan"
319.0;22.0;317.0;78.2;"The University of Melbourne"
208.0;23.0;140.0;77.6;"City University London"
257.0;24.0;213.0;77.2;"University of North Carolina, Chapel Hill"
106.0;25.0;71.0;76.1;"Korea University"
319.0;26.0;317.0;76.1;"The University of Queensland"
319.0;27.0;317.0;75.5;"Queensland University of Technology (QUT)"
106.0;28.0;71.0;75.2;"Seoul National University"
100.0;29.0;71.0;74.2;"The University of Tokyo"
94.0;30.0;71.0;73.7;"City University of Hong Kong"
257.0;31.0;213.0;73.3;"Ohio State University"
257.0;32.0;213.0;73.1;"Indiana University Bloomington"
257.0;33.0;213.0;72.8;"University of Florida"
257.0;34.0;213.0;72.5;"University of Missouri, Columbia (Mizzou)"
106.0;35.0;71.0;72.1;"Yonsei University"
257.0;36.0;213.0;71.4;"Pennsylvania State University"
257.0;37.0;213.0;71.1;"Purdue University"
257.0;38.0;213.0;70.7;"Yale University"
319.0;39.0;317.0;69.9;"The University of Sydney"
208.0;40.0;140.0;69.2;"University of Westminster"
257.0;41.0;213.0;69.0;"University of California, Santa Barbara (UCSB)"
189.0;42.0;140.0;68.9;"University of Oslo"
257.0;43.0;213.0;68.8;"University of California, San Diego (UCSD)"
152.0;44.0;140.0;68.5;"Aarhus University"
87.0;45.0;71.0;67.8;"Peking University"
353.0;46.0;349.0;67.7;"Universidade de São Paulo (USP)"
257.0;47.0;213.0;67.5;"University of Maryland, College Park"
146.0;48.0;140.0;67.1;"KU Leuven"
208.0;49.0;140.0;67.1;"Loughborough University"
94.0;50.0;71.0;67.0;"The University of Hong Kong"
257.0;51.0;213.0;67.0;"University of Iowa"
257.0;52.0;213.0;0.0;"Arizona State University"
208.0;53.0;140.0;0.0;"Cardiff University"
257.0;54.0;213.0;0.0;"Carnegie Mellon University"
257.0;55.0;213.0;0.0;"City University of New York"
319.0;56.0;317.0;0.0;"Curtin University"
162.0;57.0;140.0;0.0;"Freie Universität Berlin"
106.0;58.0;71.0;0.0;"Inha University"
208.0;59.0;140.0;0.0;"King's College London (KCL)"
100.0;60.0;71.0;0.0;"Kyoto University"
319.0;61.0;317.0;0.0;"La Trobe University"
208.0;62.0;140.0;0.0;"Lancaster University"
187.0;63.0;140.0;0.0;"Leiden University"
162.0;64.0;140.0;0.0;"Ludwig-Maximilians-Universität München"
222.0;65.0;213.0;0.0;"McGill University"
128.0;66.0;71.0;0.0;"National Taiwan University (NTU)"
87.0;67.0;71.0;0.0;"Shanghai Jiao Tong University"
203.0;68.0;140.0;0.0;"Stockholm University"
106.0;69.0;71.0;0.0;"Sungkyunkwan University"
257.0;70.0;213.0;0.0;"Syracuse University"
257.0;71.0;213.0;0.0;"The University of Georgia"
319.0;72.0;317.0;0.0;"The University of New South Wales"
208.0;73.0;140.0;0.0;"The University of Nottingham"
208.0;74.0;140.0;0.0;"The University of Warwick"
199.0;75.0;140.0;0.0;"University Complutense Madrid"
199.0;76.0;140.0;0.0;"University of Navarra"
174.0;77.0;140.0;0.0;"University of Bologna"
199.0;78.0;140.0;0.0;"Universitat Autònoma de Barcelona"
222.0;79.0;213.0;0.0;"Université de Montréal "
222.0;80.0;213.0;0.0;"Université du Québec"
146.0;81.0;140.0;0.0;"University of Antwerp"
208.0;82.0;140.0;0.0;"University of Birmingham"
208.0;83.0;140.0;0.0;"University of Bristol"
257.0;84.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
257.0;85.0;213.0;0.0;"University of Chicago"
