"country_tid";"rank_computer";"region_tid";"score_computer";"title"
257.0;1.0;213.0;93.7;"Massachusetts Institute of Technology (MIT) "
257.0;2.0;213.0;92.3;"Stanford University"
257.0;3.0;213.0;90.9;"Carnegie Mellon University"
208.0;4.0;140.0;90.3;"University of Cambridge"
257.0;5.0;213.0;90.2;"Harvard University"
257.0;6.0;213.0;89.5;"University of California, Berkeley (UCB)"
208.0;7.0;140.0;88.9;"University of Oxford"
205.0;8.0;140.0;86.4;"ETH Zurich - Swiss Federal Institute of Technology"
124.0;9.0;71.0;86.3;"National University of Singapore (NUS)"
257.0;10.0;213.0;84.4;"Princeton University"
208.0;12.0;140.0;83.7;"University of Edinburgh"
94.0;11.0;71.0;84.2;"The Hong Kong University of Science and Technology"
208.0;13.0;140.0;83.6;"Imperial College London"
94.0;14.0;71.0;83.3;"The University of Hong Kong"
319.0;15.0;317.0;83.1;"The University of Melbourne"
257.0;16.0;213.0;81.7;"University of California, Los Angeles (UCLA)"
319.0;17.0;317.0;81.2;"The Australian National University"
94.0;18.0;71.0;81.1;"The Chinese University of Hong Kong"
222.0;19.0;213.0;81.0;"University of Toronto"
100.0;20.0;71.0;80.6;"The University of Tokyo"
124.0;21.0;71.0;80.5;"Nanyang Technological University, Singapore (NTU)"
257.0;22.0;213.0;79.7;"Cornell University"
205.0;23.0;140.0;79.7;"EPFL (Ecole Polytechnique Fédérale de Lausanne)"
222.0;24.0;213.0;79.5;"University of Waterloo"
208.0;25.0;140.0;79.2;"UCL (University College London)"
257.0;26.0;213.0;79.0;"University of Illinois at Urbana-Champaign"
257.0;27.0;213.0;78.9;"California Institute of Technology (Caltech)"
257.0;28.0;213.0;78.7;"University of Washington"
319.0;29.0;317.0;78.5;"The University of New South Wales"
257.0;30.0;213.0;78.5;"Yale University"
257.0;31.0;213.0;78.2;"Georgia Institute of Technology"
257.0;32.0;213.0;77.7;"University of Texas at Austin"
162.0;33.0;140.0;77.6;"Technische Universität München"
87.0;34.0;71.0;77.2;"Tsinghua University"
87.0;35.0;71.0;77.0;"Peking University"
106.0;36.0;71.0;76.9;"KAIST - Korea Advanced Institute of Science & Technology"
208.0;37.0;140.0;76.8;"The University of Manchester"
319.0;38.0;317.0;76.7;"The University of Sydney"
319.0;39.0;317.0;76.2;"The University of Queensland"
162.0;40.0;140.0;75.9;"Karlsruhe Institute of Technology (KIT)"
222.0;41.0;213.0;75.7;"University of British Columbia"
106.0;42.0;71.0;75.5;"Seoul National University"
257.0;43.0;213.0;75.5;"University of Pennsylvania"
257.0;44.0;213.0;75.4;"Columbia University"
128.0;45.0;71.0;74.6;"National Taiwan University (NTU)"
257.0;46.0;213.0;74.4;"New York University (NYU)"
257.0;47.0;213.0;74.4;"University of Chicago"
174.0;48.0;140.0;74.3;"Politecnico di Milano"
146.0;49.0;140.0;74.1;"KU Leuven"
94.0;50.0;71.0;73.9;"The Hong Kong Polytechnic University"
257.0;51.0;213.0;0.0;"Brown University"
94.0;52.0;71.0;0.0;"City University of Hong Kong"
187.0;53.0;140.0;0.0;"Delft University of Technology"
158.0;54.0;140.0;0.0;"Ecole normale supérieure, Paris"
87.0;55.0;71.0;0.0;"Fudan University"
162.0;56.0;140.0;0.0;"Humboldt-Universität zu Berlin"
96.0;57.0;71.0;0.0;"Indian Institute of Technology Bombay (IITB)"
96.0;58.0;71.0;0.0;"Indian Institute of Technology Delhi (IITD)"
208.0;59.0;140.0;0.0;"King's College London (KCL)"
106.0;60.0;71.0;0.0;"Korea University"
203.0;61.0;140.0;0.0;"KTH Royal Institute of Technology"
100.0;62.0;71.0;0.0;"Kyoto University"
208.0;63.0;140.0;0.0;"London School of Economics and Political Science (LSE)"
162.0;64.0;140.0;0.0;"Ludwig-Maximilians-Universität München"
222.0;65.0;213.0;0.0;"McGill University"
319.0;66.0;317.0;0.0;"Monash University"
128.0;67.0;71.0;0.0;"National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)"
128.0;68.0;71.0;0.0;"National Tsing Hua University"
100.0;69.0;71.0;0.0;"Osaka University"
257.0;70.0;213.0;0.0;"Purdue University"
319.0;71.0;317.0;0.0;"Queensland University of Technology (QUT)"
162.0;72.0;140.0;0.0;"RWTH Aachen University"
319.0;73.0;317.0;0.0;"RMIT University"
87.0;74.0;71.0;0.0;"Shanghai Jiao Tong University"
74.0;75.0;71.0;0.0;"Technion - Israel Institute of Technology"
162.0;76.0;140.0;0.0;"Technische Universität Berlin"
162.0;77.0;140.0;0.0;"Technische Universität Darmstadt"
143.0;78.0;140.0;0.0;"Vienna University of Technology"
319.0;79.0;317.0;0.0;"The University of Adelaide"
334.0;80.0;317.0;0.0;"The University of Auckland"
208.0;81.0;140.0;0.0;"The University of Warwick"
100.0;82.0;71.0;0.0;"Tokyo Institute of Technology"
241.0;83.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
353.0;84.0;349.0;0.0;"Universidade de São Paulo (USP)"
353.0;85.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
199.0;86.0;140.0;0.0;"Universitat Politècnica de Catalunya "
113.0;87.0;71.0;0.0;"Universiti Malaya (UM)"
113.0;88.0;71.0;0.0;"Universiti Sains Malaysia (USM)"
187.0;89.0;140.0;0.0;"University of Amsterdam"
257.0;90.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
257.0;91.0;213.0;0.0;"University of California, San Diego (UCSD)"
208.0;92.0;140.0;0.0;"University of Glasgow"
257.0;93.0;213.0;0.0;"University of Maryland, College Park"
257.0;94.0;213.0;0.0;"University of Michigan"
87.0;95.0;71.0;0.0;"University of Science and Technology of China"
208.0;96.0;140.0;0.0;"University of Southampton"
257.0;97.0;213.0;0.0;"University of Southern California"
187.0;98.0;140.0;0.0;"Utrecht University"
187.0;99.0;140.0;0.0;"VU University Amsterdam"
87.0;100.0;71.0;0.0;"Zhejiang University"
156.0;101.0;140.0;0.0;"Aalto University"
152.0;102.0;140.0;0.0;"Aarhus University"
257.0;103.0;213.0;0.0;"Boston University"
203.0;104.0;140.0;0.0;"Chalmers University of Technology"
257.0;105.0;213.0;0.0;"Duke University"
158.0;106.0;140.0;0.0;"Ecole Polytechnique"
187.0;107.0;140.0;0.0;"Eindhoven University of Technology"
162.0;108.0;140.0;0.0;"Freie Universität Berlin"
96.0;109.0;71.0;0.0;"Indian Institute of Science"
96.0;110.0;71.0;0.0;"Indian Institute of Technology Kanpur (IITK)"
96.0;111.0;71.0;0.0;"Indian Institute of Technology, Kharagpur"
241.0;112.0;213.0;0.0;"Instituto Politécnico Nacional (IPN)"
257.0;113.0;213.0;0.0;"Johns Hopkins University"
77.0;114.0;71.0;0.0;"King Fahd University of Petroleum & Minerals"
208.0;115.0;140.0;0.0;"Lancaster University"
193.0;116.0;140.0;0.0;"Lomonosov MSU"
87.0;117.0;71.0;0.0;"Nanjing University"
128.0;118.0;71.0;0.0;"National Cheng Kung University"
128.0;119.0;71.0;0.0;"National Chiao Tung University"
257.0;120.0;213.0;0.0;"Pennsylvania State University"
106.0;121.0;71.0;0.0;"Pohang University of Science And Technology (POSTECH)"
174.0;122.0;140.0;0.0;"Politecnico di Torino"
257.0;123.0;213.0;0.0;"Rice University"
162.0;124.0;140.0;0.0;"Ruprecht-Karls-Universität Heidelberg"
174.0;125.0;140.0;0.0;"Sapienza University of Rome"
222.0;126.0;213.0;0.0;"Simon Fraser University"
124.0;127.0;71.0;0.0;"Singapore Management University"
106.0;128.0;71.0;0.0;"Sungkyunkwan University"
319.0;129.0;317.0;0.0;"The University of Western Australia"
171.0;130.0;140.0;0.0;"Trinity College Dublin"
174.0;131.0;140.0;0.0;"University of Bologna"
174.0;132.0;140.0;0.0;"University of Pisa"
162.0;133.0;140.0;0.0;"Universität des Saarlandes"
162.0;134.0;140.0;0.0;"Universität Stuttgart"
146.0;135.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
222.0;136.0;213.0;0.0;"Université de Montréal "
208.0;137.0;140.0;0.0;"University of Birmingham"
334.0;138.0;317.0;0.0;"University of Canterbury"
257.0;139.0;213.0;0.0;"University of Illinois at Chicago"
257.0;140.0;213.0;0.0;"University of North Carolina, Chapel Hill"
189.0;141.0;140.0;0.0;"University of Oslo"
334.0;142.0;317.0;0.0;"University of Otago"
319.0;143.0;317.0;0.0;"University of South Australia"
319.0;144.0;317.0;0.0;"University of Technology, Sydney"
187.0;145.0;140.0;0.0;"University of Twente"
334.0;146.0;317.0;0.0;"University of Waikato"
257.0;147.0;213.0;0.0;"University of Wisconsin-Madison"
208.0;148.0;140.0;0.0;"University of York"
205.0;149.0;140.0;0.0;"University of Zurich (UZH)"
100.0;150.0;71.0;0.0;"Waseda University"
97.0;151.0;71.0;0.0;"Bandung Institute of Technology (ITB)"
87.0;152.0;71.0;0.0;"Beijing Institute of Technology"
169.0;153.0;140.0;0.0;"Budapest University of Technology and Economics"
208.0;154.0;140.0;0.0;"City University London"
319.0;155.0;317.0;0.0;"Curtin University"
151.0;156.0;140.0;0.0;"Czech Technical University In Prague"
171.0;157.0;140.0;0.0;"Dublin City University"
319.0;158.0;317.0;0.0;"Griffith University"
96.0;159.0;71.0;0.0;"Indian Institute of Technology, Madras (IITM)"
100.0;160.0;71.0;0.0;"Keio University"
77.0;161.0;71.0;0.0;"King Saud University"
100.0;162.0;71.0;0.0;"Kyushu University"
203.0;163.0;140.0;0.0;"Lund University"
134.0;164.0;71.0;0.0;"Middle East Technical University"
113.0;165.0;71.0;0.0;"Multimedia University (MMU)"
128.0;166.0;71.0;0.0;"National Central University"
166.0;167.0;140.0;0.0;"National Technical University of Athens"
189.0;168.0;140.0;0.0;"Norwegian University of Science And Technology"
199.0;169.0;140.0;0.0;"Politécnica de Madrid"
355.0;170.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
353.0;171.0;349.0;0.0;"Pontificia Universidade Católica do Rio de Janeiro (PUC - Rio)"
208.0;172.0;140.0;0.0;"Queen Mary University of London (QMUL)"
208.0;173.0;140.0;0.0;"Queen's University of Belfast"
162.0;174.0;140.0;0.0;"Technische Universität Dresden"
143.0;175.0;140.0;0.0;"Graz University of Technology"
241.0;176.0;213.0;0.0;"Tec de Monterrey"
257.0;177.0;213.0;0.0;"Texas A&M University"
100.0;178.0;71.0;0.0;"Tohoku University"
199.0;179.0;140.0;0.0;"Universidad Carlos III de Madrid"
350.0;180.0;349.0;0.0;"Universidad de Buenos Aires"
355.0;181.0;349.0;0.0;"Universidad de Chile"
353.0;182.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
353.0;183.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
199.0;185.0;140.0;0.0;"University of Barcelona"
146.0;186.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;187.0;140.0;0.0;"Université Pierre et Marie Curie (UPMC)"
113.0;188.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
113.0;189.0;71.0;0.0;"Universiti Teknologi Malaysia (UTM)"
171.0;190.0;140.0;0.0;"University College Dublin"
222.0;191.0;213.0;0.0;"University of Alberta"
208.0;192.0;140.0;0.0;"University of Bristol"
222.0;193.0;213.0;0.0;"University of Calgary"
257.0;194.0;213.0;0.0;"University of California, Davis"
156.0;195.0;140.0;0.0;"University of Helsinki"
208.0;196.0;140.0;0.0;"University of Liverpool"
257.0;197.0;213.0;0.0;"University of Massachusetts Amherst"
319.0;198.0;317.0;0.0;"The University of Newcastle, Australia (UoN)"
203.0;199.0;140.0;0.0;"Uppsala University"
257.0;200.0;213.0;0.0;"Virginia Tech"
106.0;201.0;71.0;0.0;"Yonsei University"
