"country_tid";"rank_economics";"region_tid";"score_economics";"title"
257.0;1.0;213.0;99.2;"Harvard University"
257.0;2.0;213.0;93.8;"Massachusetts Institute of Technology (MIT) "
208.0;3.0;140.0;93.0;"London School of Economics and Political Science (LSE)"
257.0;4.0;213.0;92.4;"Stanford University"
257.0;5.0;213.0;90.1;"University of California, Berkeley (UCB)"
257.0;6.0;213.0;90.1;"University of Chicago"
257.0;7.0;213.0;88.8;"Princeton University"
257.0;8.0;213.0;88.3;"Yale University"
257.0;9.0;213.0;85.5;"University of Pennsylvania"
257.0;11.0;213.0;84.9;"Columbia University"
208.0;10.0;140.0;85.3;"University of Cambridge"
208.0;12.0;140.0;84.8;"University of Oxford"
257.0;13.0;213.0;81.0;"New York University (NYU)"
257.0;14.0;213.0;80.6;"University of California, Los Angeles (UCLA)"
257.0;15.0;213.0;78.8;"Northwestern University"
124.0;16.0;71.0;78.0;"National University of Singapore (NUS)"
208.0;17.0;140.0;77.8;"UCL (University College London)"
319.0;18.0;317.0;76.5;"The Australian National University"
100.0;19.0;71.0;76.3;"The University of Tokyo"
174.0;20.0;140.0;75.6;"Università Bocconi"
208.0;21.0;140.0;75.3;"The University of Warwick"
257.0;22.0;213.0;74.8;"Cornell University"
319.0;23.0;317.0;73.8;"The University of Melbourne"
319.0;24.0;317.0;73.7;"Monash University"
257.0;25.0;213.0;73.2;"Duke University"
257.0;26.0;213.0;73.1;"University of Michigan"
222.0;27.0;213.0;73.1;"University of Toronto"
94.0;28.0;71.0;72.9;"The University of Hong Kong"
257.0;29.0;213.0;72.8;"University of California, San Diego (UCSD)"
94.0;30.0;71.0;72.2;"The Hong Kong University of Science and Technology"
208.0;31.0;140.0;71.0;"London Business School"
203.0;32.0;140.0;70.7;"Stockholm School of Economics"
87.0;33.0;71.0;70.6;"Peking University"
94.0;34.0;71.0;70.5;"The Chinese University of Hong Kong"
106.0;35.0;71.0;70.2;"Seoul National University"
222.0;36.0;213.0;70.1;"University of British Columbia"
87.0;37.0;71.0;69.6;"Tsinghua University"
187.0;38.0;140.0;69.5;"Erasmus University Rotterdam"
257.0;39.0;213.0;69.2;"Brown University"
199.0;40.0;140.0;68.9;"Universitat Pompeu Fabra"
205.0;41.0;140.0;68.8;"ETH Zurich - Swiss Federal Institute of Technology"
100.0;42.0;71.0;68.7;"Kyoto University"
