"country_tid";"rank_education";"region_tid";"score_education";"title"
208.0;1.0;140.0;92.2;"The UCL Institute of Education"
319.0;2.0;317.0;91.2;"The University of Melbourne"
257.0;3.0;213.0;90.2;"Harvard University"
208.0;4.0;140.0;88.9;"University of Cambridge"
257.0;5.0;213.0;87.8;"Stanford University"
319.0;6.0;317.0;87.6;"Monash University"
208.0;7.0;140.0;86.5;"University of Oxford"
319.0;8.0;317.0;83.9;"The University of Sydney"
222.0;9.0;213.0;83.2;"University of Toronto"
257.0;11.0;213.0;82.4;"Columbia University"
319.0;10.0;317.0;82.9;"The University of Queensland"
257.0;12.0;213.0;82.2;"University of California, Berkeley (UCB)"
257.0;13.0;213.0;82.0;"University of California, Los Angeles (UCLA)"
124.0;14.0;71.0;81.8;"Nanyang Technological University, Singapore (NTU)"
257.0;15.0;213.0;80.2;"University of Wisconsin-Madison"
94.0;16.0;71.0;79.5;"The University of Hong Kong"
257.0;17.0;213.0;78.9;"University of Illinois at Urbana-Champaign"
208.0;18.0;140.0;78.2;"University of Edinburgh"
208.0;19.0;140.0;77.0;"King's College London (KCL)"
257.0;20.0;213.0;76.7;"University of Michigan"
257.0;21.0;213.0;76.5;"Michigan State University"
257.0;22.0;213.0;75.0;"Boston College"
319.0;23.0;317.0;74.9;"Deakin University"
222.0;24.0;213.0;74.8;"University of British Columbia"
94.0;25.0;71.0;73.8;"The Chinese University of Hong Kong"
319.0;26.0;317.0;73.7;"The University of New South Wales"
208.0;27.0;140.0;73.6;"University of Bristol"
257.0;28.0;213.0;73.2;"Ohio State University"
208.0;29.0;140.0;73.2;"The University of Nottingham"
257.0;30.0;213.0;73.2;"University of Texas at Austin"
257.0;31.0;213.0;73.1;"Pennsylvania State University"
54.0;32.0;6.0;72.1;"University of Cape Town"
319.0;33.0;317.0;71.7;"The University of Western Australia"
334.0;34.0;317.0;71.1;"The University of Auckland"
319.0;35.0;317.0;70.9;"The Australian National University"
100.0;36.0;71.0;70.9;"The University of Tokyo"
319.0;37.0;317.0;70.6;"Curtin University"
241.0;38.0;213.0;70.5;"Universidad Nacional Autónoma de México (UNAM)"
257.0;39.0;213.0;70.3;"University of Washington"
222.0;40.0;213.0;69.9;"McGill University"
208.0;41.0;140.0;69.9;"University of Leeds"
128.0;42.0;71.0;69.7;"National Taiwan Normal University"
87.0;43.0;71.0;69.5;"Beijing Normal University "
208.0;44.0;140.0;69.5;"The University of Manchester"
257.0;45.0;213.0;68.2;"Indiana University Bloomington"
257.0;46.0;213.0;68.1;"The University of Georgia"
334.0;47.0;317.0;68.1;"University of Waikato"
208.0;48.0;140.0;67.7;"The Open University"
257.0;49.0;213.0;67.5;"Vanderbilt University"
257.0;50.0;213.0;67.4;"University of Pennsylvania"
257.0;51.0;213.0;0.0;"Arizona State University"
257.0;52.0;213.0;0.0;"Boston University"
222.0;53.0;213.0;0.0;"Concordia University"
257.0;54.0;213.0;0.0;"Cornell University"
208.0;55.0;140.0;0.0;"Durham University"
257.0;56.0;213.0;0.0;"Florida State University"
319.0;57.0;317.0;0.0;"Griffith University"
257.0;58.0;213.0;0.0;"Johns Hopkins University"
146.0;59.0;140.0;0.0;"KU Leuven"
208.0;60.0;140.0;0.0;"Lancaster University"
203.0;61.0;140.0;0.0;"Linköping University"
319.0;62.0;317.0;0.0;"Macquarie University"
334.0;63.0;317.0;0.0;"Massey University"
257.0;64.0;213.0;0.0;"New York University (NYU)"
87.0;65.0;71.0;0.0;"Peking University"
355.0;66.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
319.0;67.0;317.0;0.0;"Queensland University of Technology (QUT)"
106.0;68.0;71.0;0.0;"Seoul National University"
106.0;69.0;71.0;0.0;"The Hong Kong Institute of Education"
208.0;70.0;140.0;0.0;"The University of Sheffield"
208.0;71.0;140.0;0.0;"UCL (University College London)"
350.0;72.0;349.0;0.0;"Universidad de Buenos Aires"
355.0;73.0;349.0;0.0;"Universidad de Chile"
353.0;74.0;349.0;0.0;"Universidade de São Paulo (USP)"
353.0;75.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
113.0;76.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
113.0;77.0;71.0;0.0;"Universiti Malaya (UM)"
113.0;78.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
222.0;79.0;213.0;0.0;"University of Alberta"
