"country_tid";"rank_english";"region_tid";"score_english";"title"
208.0;1.0;140.0;98.7;"University of Oxford"
208.0;2.0;140.0;97.9;"University of Cambridge"
257.0;3.0;213.0;94.7;"Harvard University"
257.0;4.0;213.0;91.3;"Yale University"
257.0;5.0;213.0;91.2;"University of California, Berkeley (UCB)"
257.0;6.0;213.0;86.5;"University of Chicago"
257.0;7.0;213.0;86.3;"Stanford University"
257.0;8.0;213.0;85.5;"Columbia University"
257.0;9.0;213.0;85.5;"Princeton University"
257.0;10.0;213.0;84.6;"University of California, Los Angeles (UCLA)"
257.0;11.0;213.0;82.8;"University of Pennsylvania"
257.0;12.0;213.0;81.6;"Cornell University"
222.0;13.0;213.0;81.1;"University of Toronto"
208.0;14.0;140.0;80.5;"University of Edinburgh"
208.0;15.0;140.0;79.4;"UCL (University College London)"
208.0;16.0;140.0;79.3;"The University of Warwick"
257.0;17.0;213.0;79.2;"Duke University"
124.0;18.0;71.0;79.2;"National University of Singapore (NUS)"
319.0;19.0;317.0;78.1;"The University of Sydney"
319.0;20.0;317.0;77.9;"The University of Queensland"
319.0;21.0;317.0;77.0;"The University of Melbourne"
222.0;22.0;213.0;76.0;"University of Alberta"
257.0;23.0;213.0;75.7;"University of Michigan"
208.0;24.0;140.0;74.9;"The University of Manchester"
171.0;25.0;140.0;74.2;"Trinity College Dublin"
208.0;26.0;140.0;73.7;"University of York"
319.0;27.0;317.0;73.3;"Monash University"
334.0;28.0;317.0;72.7;"University of Otago"
257.0;29.0;213.0;72.6;"University of Texas at Austin"
208.0;30.0;140.0;72.5;"University of Glasgow"
334.0;31.0;317.0;72.4;"Victoria University of Wellington"
257.0;32.0;213.0;72.2;"University of Virginia"
222.0;33.0;213.0;71.4;"University of British Columbia"
222.0;34.0;213.0;70.8;"McGill University"
257.0;35.0;213.0;70.3;"UC Irvine - Extension, English and Certificates for Internationals"
208.0;36.0;140.0;69.5;"University of Leeds"
334.0;37.0;317.0;68.9;"The University of Auckland"
257.0;38.0;213.0;68.7;"Pennsylvania State University"
208.0;39.0;140.0;67.3;"University of Birmingham"
208.0;40.0;140.0;67.0;"University of Bristol"
257.0;41.0;213.0;66.5;"New York University (NYU)"
319.0;42.0;317.0;66.5;"The University of New South Wales"
208.0;43.0;140.0;65.6;"The University of Exeter"
208.0;44.0;140.0;65.5;"The University of Nottingham"
