"country_tid";"rank_environmental";"region_tid";"score_environmental";"title"
257.0;1.0;213.0;97.5;"University of California, Berkeley (UCB)"
257.0;2.0;213.0;97.4;"Harvard University"
205.0;3.0;140.0;94.4;"ETH Zurich - Swiss Federal Institute of Technology"
208.0;4.0;140.0;94.4;"University of Cambridge"
257.0;5.0;213.0;94.2;"Stanford University"
257.0;6.0;213.0;92.2;"Massachusetts Institute of Technology (MIT) "
208.0;7.0;140.0;91.3;"University of Oxford"
187.0;8.0;140.0;90.8;"Wageningen University"
208.0;9.0;140.0;90.2;"Imperial College London"
257.0;10.0;213.0;89.1;"University of Michigan"
319.0;11.0;317.0;88.7;"The University of Queensland"
319.0;12.0;317.0;87.9;"The Australian National University"
319.0;13.0;317.0;87.9;"The University of Melbourne"
124.0;14.0;71.0;87.3;"National University of Singapore (NUS)"
257.0;15.0;213.0;87.1;"University of California, Davis"
257.0;16.0;213.0;86.8;"Yale University"
87.0;17.0;71.0;86.6;"Tsinghua University"
106.0;18.0;71.0;85.9;"Seoul National University"
187.0;19.0;140.0;85.7;"Delft University of Technology"
257.0;20.0;213.0;85.6;"Cornell University"
152.0;21.0;140.0;85.6;"Technical University of Denmark"
257.0;22.0;213.0;85.0;"University of Colorado Boulder"
257.0;23.0;213.0;84.7;"University of California, Los Angeles (UCLA)"
208.0;24.0;140.0;84.7;"University of East Anglia (UEA)"
94.0;25.0;71.0;84.2;"The Hong Kong University of Science and Technology"
100.0;26.0;71.0;84.2;"The University of Tokyo"
222.0;27.0;213.0;84.1;"University of British Columbia"
113.0;28.0;71.0;83.9;"Universiti Sains Malaysia (USM)"
222.0;29.0;213.0;83.9;"University of Toronto"
257.0;30.0;213.0;83.7;"Georgia Institute of Technology"
203.0;31.0;140.0;83.6;"Lund University"
257.0;32.0;213.0;83.0;"Columbia University"
257.0;33.0;213.0;83.0;"University of Wisconsin-Madison"
87.0;34.0;71.0;82.9;"Peking University"
208.0;35.0;140.0;82.7;"The University of Sheffield"
257.0;36.0;213.0;82.6;"Duke University"
208.0;37.0;140.0;82.5;"University of Birmingham"
203.0;38.0;140.0;82.2;"Stockholm University"
257.0;39.0;213.0;82.0;"Arizona State University"
208.0;40.0;140.0;81.8;"The University of Manchester"
100.0;41.0;71.0;81.6;"Kyoto University"
257.0;42.0;213.0;81.5;"University of Washington"
257.0;43.0;213.0;81.4;"University of Illinois at Urbana-Champaign"
257.0;44.0;213.0;81.3;"University of Texas at Austin"
257.0;45.0;213.0;80.9;"California Institute of Technology (Caltech)"
257.0;46.0;213.0;80.8;"Princeton University"
208.0;47.0;140.0;80.6;"University of Edinburgh"
257.0;48.0;213.0;80.4;"Carnegie Mellon University"
124.0;49.0;71.0;80.4;"Nanyang Technological University, Singapore (NTU)"
319.0;50.0;317.0;80.1;"The University of New South Wales"
203.0;51.0;140.0;0.0;"Chalmers University of Technology"
257.0;52.0;213.0;0.0;"Colorado State University"
205.0;53.0;140.0;0.0;"EPFL (Ecole Polytechnique Fédérale de Lausanne)"
87.0;54.0;71.0;0.0;"Fudan University"
257.0;55.0;213.0;0.0;"Johns Hopkins University"
208.0;57.0;140.0;0.0;"Lancaster University"
106.0;56.0;71.0;0.0;"KAIST - Korea Advanced Institute of Science & Technology"
222.0;58.0;213.0;0.0;"McGill University"
257.0;59.0;213.0;0.0;"Michigan State University"
319.0;60.0;317.0;0.0;"Monash University"
128.0;61.0;71.0;0.0;"National Taiwan University (NTU)"
257.0;62.0;213.0;0.0;"Oregon State University"
257.0;63.0;213.0;0.0;"Pennsylvania State University"
106.0;64.0;71.0;0.0;"Pohang University of Science And Technology (POSTECH)"
257.0;65.0;213.0;0.0;"Purdue University"
87.0;66.0;71.0;0.0;"Shanghai Jiao Tong University"
257.0;67.0;213.0;0.0;"Texas A&M University"
319.0;68.0;317.0;0.0;"The University of Adelaide"
334.0;69.0;317.0;0.0;"The University of Auckland"
319.0;70.0;317.0;0.0;"The University of Sydney"
87.0;71.0;71.0;0.0;"Tongji University"
208.0;72.0;140.0;0.0;"UCL (University College London)"
241.0;73.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
353.0;74.0;349.0;0.0;"Universidade de São Paulo (USP)"
353.0;75.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
353.0;76.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
199.0;77.0;140.0;0.0;"University of Barcelona"
146.0;78.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
222.0;79.0;213.0;0.0;"University of Alberta"
257.0;80.0;213.0;0.0;"University of Arizona"
208.0;81.0;140.0;0.0;"University of Bristol"
257.0;82.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
257.0;83.0;213.0;0.0;"University of California, San Diego (UCSD)"
257.0;84.0;213.0;0.0;"University of California, Santa Barbara (UCSB)"
152.0;85.0;140.0;0.0;"University of Copenhagen"
257.0;86.0;213.0;0.0;"University of Florida"
146.0;87.0;140.0;0.0;"University of Ghent"
203.0;88.0;140.0;0.0;"University of Gothenburg"
156.0;89.0;140.0;0.0;"University of Helsinki"
94.0;90.0;71.0;0.0;"The University of Hong Kong"
208.0;91.0;140.0;0.0;"University of Leeds"
257.0;92.0;213.0;0.0;"University of Maryland, College Park"
257.0;93.0;213.0;0.0;"University of Minnesota"
257.0;94.0;213.0;0.0;"University of North Carolina, Chapel Hill"
208.0;95.0;140.0;0.0;"University of Reading"
208.0;96.0;140.0;0.0;"University of Southampton"
222.0;97.0;213.0;0.0;"University of Waterloo"
203.0;98.0;140.0;0.0;"Uppsala University"
187.0;99.0;140.0;0.0;"Utrecht University"
187.0;100.0;140.0;0.0;"VU University Amsterdam"
152.0;101.0;140.0;0.0;"Aarhus University"
87.0;102.0;71.0;0.0;"Beijing Normal University "
257.0;103.0;213.0;0.0;"Boston University"
131.0;104.0;71.0;0.0;"Chulalongkorn University"
208.0;105.0;140.0;0.0;"Cranfield University"
319.0;106.0;317.0;0.0;"Curtin University"
319.0;107.0;317.0;0.0;"Griffith University"
100.0;108.0;71.0;0.0;"Hokkaido University"
96.0;109.0;71.0;0.0;"Indian Institute of Technology, Kharagpur"
257.0;110.0;213.0;0.0;"Indiana University Bloomington"
319.0;111.0;317.0;0.0;"James Cook University"
208.0;112.0;140.0;0.0;"King's College London (KCL)"
203.0;113.0;140.0;0.0;"KTH Royal Institute of Technology"
100.0;114.0;71.0;0.0;"Nagoya University"
128.0;115.0;71.0;0.0;"National Cheng Kung University"
257.0;116.0;213.0;0.0;"Ohio State University"
319.0;117.0;317.0;0.0;"Queensland University of Technology (QUT)"
162.0;118.0;140.0;0.0;"Technische Universität München"
257.0;119.0;213.0;0.0;"The University of Georgia"
208.0;120.0;140.0;0.0;"The University of Nottingham"
319.0;121.0;317.0;0.0;"The University of Western Australia"
100.0;122.0;71.0;0.0;"Tokyo Institute of Technology"
171.0;123.0;140.0;0.0;"Trinity College Dublin"
350.0;124.0;349.0;0.0;"Universidad de Buenos Aires"
353.0;125.0;349.0;0.0;"Universidade de Brasilia (UnB)"
353.0;126.0;349.0;0.0;"Universidade Estadual Paulista 'Júlio de Mesquita Filho' (UNESP)"
353.0;127.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
353.0;128.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
174.0;129.0;140.0;0.0;"University of Bologna"
199.0;130.0;140.0;0.0;"Universitat Autònoma de Barcelona"
162.0;131.0;140.0;0.0;"Universität Bremen"
143.0;132.0;140.0;0.0;"University of Vienna"
143.0;133.0;140.0;0.0;"University of Natural Resources and Applied Life Sciences Vienna "
158.0;134.0;140.0;0.0;"Université Aix-Marseille"
222.0;135.0;213.0;0.0;"Université de Montréal "
222.0;136.0;213.0;0.0;"Université du Québec"
158.0;137.0;140.0;0.0;"Université Joseph Fourier - Grenoble 1"
158.0;138.0;140.0;0.0;"Université Pierre et Marie Curie (UPMC)"
113.0;139.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
171.0;140.0;140.0;0.0;"University College Cork"
208.0;141.0;140.0;0.0;"University of Aberdeen"
146.0;142.0;140.0;0.0;"University of Antwerp"
205.0;143.0;140.0;0.0;"University of Bern"
222.0;144.0;213.0;0.0;"University of Calgary"
