"country_tid";"rank_history";"region_tid";"score_history";"title"
208.0;1.0;140.0;99.5;"University of Cambridge"
208.0;2.0;140.0;97.9;"University of Oxford"
257.0;3.0;213.0;97.4;"Harvard University"
257.0;4.0;213.0;90.7;"Yale University"
257.0;5.0;213.0;89.8;"Princeton University"
257.0;6.0;213.0;88.3;"University of California, Berkeley (UCB)"
208.0;7.0;140.0;87.6;"London School of Economics and Political Science (LSE)"
257.0;8.0;213.0;87.2;"University of Chicago"
257.0;9.0;213.0;86.9;"Stanford University"
257.0;10.0;213.0;86.5;"University of Michigan"
257.0;11.0;213.0;86.1;"Columbia University"
257.0;12.0;213.0;85.4;"University of California, Los Angeles (UCLA)"
158.0;13.0;140.0;84.6;"Université Paris 1 Panthéon-Sorbonne "
162.0;14.0;140.0;84.0;"Freie Universität Berlin"
319.0;15.0;317.0;83.9;"The Australian National University"
162.0;16.0;140.0;83.5;"Humboldt-Universität zu Berlin"
257.0;17.0;213.0;80.9;"University of Wisconsin-Madison"
162.0;18.0;140.0;76.2;"Ruprecht-Karls-Universität Heidelberg"
222.0;19.0;213.0;76.1;"University of Toronto"
257.0;20.0;213.0;75.8;"Cornell University"
257.0;21.0;213.0;75.5;"Johns Hopkins University"
319.0;22.0;317.0;75.4;"The University of Melbourne"
257.0;23.0;213.0;75.3;"Duke University"
208.0;24.0;140.0;75.1;"The University of Warwick"
241.0;25.0;213.0;73.8;"Universidad Nacional Autónoma de México (UNAM)"
208.0;26.0;140.0;73.5;"King's College London (KCL)"
162.0;27.0;140.0;72.6;"Ludwig-Maximilians-Universität München"
187.0;28.0;140.0;71.9;"Leiden University"
100.0;29.0;71.0;71.5;"Kyoto University"
334.0;30.0;317.0;71.0;"University of Otago"
162.0;31.0;140.0;70.9;"Universität Freiburg"
208.0;32.0;140.0;70.8;"UCL (University College London)"
257.0;33.0;213.0;70.8;"University of Pennsylvania"
353.0;34.0;349.0;70.7;"Universidade estadual de Campinas(Unicamp)"
222.0;35.0;213.0;70.7;"University of British Columbia"
158.0;36.0;140.0;70.4;"Université Paris-Sorbonne (Paris IV)"
100.0;37.0;71.0;70.3;"The University of Tokyo"
319.0;38.0;317.0;69.3;"La Trobe University"
94.0;39.0;71.0;69.3;"The University of Hong Kong"
124.0;40.0;71.0;69.2;"National University of Singapore (NUS)"
187.0;41.0;140.0;68.9;"Utrecht University"
353.0;42.0;349.0;68.8;"Universidade Federal do Rio de Janeiro"
199.0;43.0;140.0;68.7;"University Complutense Madrid"
257.0;44.0;213.0;68.7;"University of Texas at Austin"
319.0;45.0;317.0;68.6;"The University of Sydney"
208.0;46.0;140.0;68.3;"Durham University"
257.0;47.0;213.0;68.3;"New York University (NYU)"
171.0;48.0;140.0;67.9;"Trinity College Dublin"
87.0;49.0;71.0;67.8;"Peking University"
208.0;50.0;140.0;67.6;"The University of Manchester"
353.0;51.0;349.0;67.6;"Universidade de São Paulo (USP)"
208.0;52.0;140.0;0.0;"Birkbeck, University of London"
257.0;53.0;213.0;0.0;"Brown University"
87.0;55.0;71.0;0.0;"Fudan University"
162.0;54.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
257.0;56.0;213.0;0.0;"Georgetown University"
74.0;57.0;71.0;0.0;"The Hebrew University of Jerusalem"
146.0;58.0;140.0;0.0;"KU Leuven"
257.0;59.0;213.0;0.0;"Massachusetts Institute of Technology (MIT) "
222.0;60.0;213.0;0.0;"McGill University"
319.0;61.0;317.0;0.0;"Monash University"
128.0;62.0;71.0;0.0;"National Taiwan University (NTU)"
257.0;63.0;213.0;0.0;"Northwestern University"
100.0;64.0;71.0;0.0;"Osaka University"
208.0;65.0;140.0;0.0;"Queen Mary University of London (QMUL)"
162.0;66.0;140.0;0.0;"Rheinische Friedrich-Wilhelms-Universität Bonn"
174.0;67.0;140.0;0.0;"Sapienza University of Rome"
158.0;68.0;140.0;0.0;"Sciences Po Paris"
334.0;69.0;317.0;0.0;"The University of Auckland"
319.0;70.0;317.0;0.0;"The University of New South Wales"
319.0;71.0;317.0;0.0;"The University of Queensland"
208.0;72.0;140.0;0.0;"The University of Sheffield"
