"country_tid";"rank_languages";"region_tid";"score_languages";"title"
208.0;1.0;140.0;100.0;"University of Oxford"
208.0;2.0;140.0;98.7;"University of Cambridge"
257.0;3.0;213.0;96.9;"Harvard University"
257.0;4.0;213.0;90.2;"University of California, Berkeley (UCB)"
257.0;5.0;213.0;87.9;"Stanford University"
257.0;6.0;213.0;87.9;"Yale University"
257.0;7.0;213.0;86.4;"Princeton University"
208.0;8.0;140.0;84.7;"UCL (University College London)"
257.0;9.0;213.0;83.2;"University of California, Los Angeles (UCLA)"
124.0;10.0;71.0;83.0;"National University of Singapore (NUS)"
94.0;11.0;71.0;82.3;"The Chinese University of Hong Kong"
208.0;12.0;140.0;81.3;"University of Edinburgh"
100.0;13.0;71.0;81.0;"The University of Tokyo"
319.0;14.0;317.0;80.5;"The Australian National University"
222.0;15.0;213.0;80.5;"University of Toronto"
158.0;16.0;140.0;80.1;"Université Paris-Sorbonne (Paris IV)"
94.0;17.0;71.0;79.9;"The University of Hong Kong"
257.0;18.0;213.0;79.4;"Massachusetts Institute of Technology (MIT) "
257.0;19.0;213.0;78.7;"Columbia University"
162.0;20.0;140.0;78.5;"Humboldt-Universität zu Berlin"
162.0;21.0;140.0;77.8;"Ruprecht-Karls-Universität Heidelberg"
87.0;22.0;71.0;77.6;"Peking University"
319.0;23.0;317.0;77.5;"The University of Melbourne"
208.0;24.0;140.0;77.4;"The University of Warwick"
257.0;25.0;213.0;77.3;"Cornell University"
350.0;26.0;349.0;76.8;"Universidad de Buenos Aires"
257.0;27.0;213.0;76.7;"University of Chicago"
257.0;28.0;213.0;76.1;"Duke University"
106.0;29.0;71.0;76.0;"Hankuk (Korea) University of Foreign Studies "
162.0;30.0;140.0;75.7;"Ludwig-Maximilians-Universität München"
162.0;31.0;140.0;75.5;"Freie Universität Berlin"
208.0;32.0;140.0;75.1;"SOAS, University of London "
208.0;33.0;140.0;75.0;"The University of Manchester"
100.0;34.0;71.0;74.9;"Kyoto University"
222.0;35.0;213.0;73.9;"McGill University"
100.0;36.0;71.0;73.8;"Waseda University"
241.0;37.0;213.0;73.7;"Universidad Nacional Autónoma de México (UNAM)"
257.0;38.0;213.0;73.6;"University of Michigan"
257.0;39.0;213.0;73.3;"Brown University"
106.0;40.0;71.0;73.1;"Yonsei University"
94.0;41.0;71.0;73.0;"The Hong Kong University of Science and Technology"
171.0;42.0;140.0;72.9;"Trinity College Dublin"
187.0;43.0;140.0;72.5;"University of Amsterdam"
257.0;44.0;213.0;71.6;"Indiana University Bloomington"
334.0;45.0;317.0;71.2;"The University of Auckland"
319.0;46.0;317.0;71.1;"The University of Sydney"
106.0;47.0;71.0;70.9;"Seoul National University"
208.0;48.0;140.0;70.7;"University of York"
208.0;49.0;140.0;70.4;"King's College London (KCL)"
257.0;50.0;213.0;70.4;"New York University (NYU)"
94.0;51.0;71.0;0.0;"City University of Hong Kong"
208.0;52.0;140.0;0.0;"Durham University"
162.0;53.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
158.0;54.0;140.0;0.0;"Ecole normale supérieure, Paris"
87.0;55.0;71.0;0.0;"Fudan University"
190.0;56.0;140.0;0.0;"Jagiellonian University"
146.0;57.0;140.0;0.0;"KU Leuven"
77.0;58.0;71.0;0.0;"King Saud University"
106.0;59.0;71.0;0.0;"Korea University"
208.0;60.0;140.0;0.0;"Lancaster University"
187.0;61.0;140.0;0.0;"Leiden University"
193.0;62.0;140.0;0.0;"Lomonosov MSU"
319.0;63.0;317.0;0.0;"Monash University"
128.0;64.0;71.0;0.0;"National Taiwan University (NTU)"
257.0;65.0;213.0;0.0;"Pennsylvania State University"
174.0;66.0;140.0;0.0;"Sapienza University of Rome"
87.0;67.0;71.0;0.0;"Shanghai Jiao Tong University"
94.0;68.0;71.0;0.0;"The Hong Kong Polytechnic University"
319.0;69.0;317.0;0.0;"The University of Queensland"
208.0;70.0;140.0;0.0;"The University of Sheffield"
87.0;71.0;71.0;0.0;"Tsinghua University"
199.0;72.0;140.0;0.0;"University Complutense Madrid"
199.0;73.0;140.0;0.0;"University of Salamanca"
353.0;74.0;349.0;0.0;"Universidade de São Paulo (USP)"
353.0;75.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
353.0;76.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
174.0;78.0;140.0;0.0;"University of Bologna"
162.0;79.0;140.0;0.0;"Universität Freiburg"
162.0;80.0;140.0;0.0;"Universität Hamburg"
143.0;81.0;140.0;0.0;"University of Vienna"
146.0;82.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
158.0;83.0;140.0;0.0;"Université Paris 1 Panthéon-Sorbonne "
113.0;84.0;71.0;0.0;"Universiti Malaya (UM)"
171.0;85.0;140.0;0.0;"University College Cork"
171.0;86.0;140.0;0.0;"University College Dublin"
208.0;87.0;140.0;0.0;"University of Birmingham"
208.0;88.0;140.0;0.0;"University of Bristol"
222.0;89.0;213.0;0.0;"University of British Columbia"
152.0;90.0;140.0;0.0;"University of Copenhagen"
205.0;91.0;140.0;0.0;"University of Geneva"
156.0;92.0;140.0;0.0;"University of Helsinki"
257.0;93.0;213.0;0.0;"University of Illinois at Urbana-Champaign"
208.0;94.0;140.0;0.0;"University of Leeds"
334.0;95.0;317.0;0.0;"University of Otago"
257.0;96.0;213.0;0.0;"University of Pennsylvania"
208.0;97.0;140.0;0.0;"University of Southampton"
208.0;98.0;140.0;0.0;"University of St Andrews"
257.0;99.0;213.0;0.0;"University of Wisconsin-Madison"
187.0;100.0;140.0;0.0;"Utrecht University"
152.0;101.0;140.0;0.0;"Aarhus University"
21.0;102.0;6.0;0.0;"The American University in Cairo"
257.0;103.0;213.0;0.0;"Arizona State University"
87.0;104.0;71.0;0.0;"Beijing Normal University "
21.0;105.0;6.0;0.0;"Cairo University (جامعة القاهرة)"
151.0;106.0;140.0;0.0;"Charles University"
257.0;107.0;213.0;0.0;"Dartmouth College"
162.0;108.0;140.0;0.0;"Georg-August-Universität Göttingen"
257.0;109.0;213.0;0.0;"George Washington University"
257.0;110.0;213.0;0.0;"Georgetown University"
208.0;111.0;140.0;0.0;"Goldsmiths, University of London"
74.0;112.0;71.0;0.0;"The Hebrew University of Jerusalem"
87.0;113.0;71.0;0.0;"Nanjing University"
124.0;114.0;71.0;0.0;"Nanyang Technological University, Singapore (NTU)"
128.0;115.0;71.0;0.0;"National Taiwan Normal University"
208.0;116.0;140.0;0.0;"Newcastle University"
257.0;117.0;213.0;0.0;"Northwestern University"
100.0;118.0;71.0;0.0;"Osaka University"
353.0;119.0;349.0;0.0;"Pontificia Universidade Católica de São Paulo (PUC -SP)"
87.0;120.0;71.0;0.0;"Renmin (People’s) University of China"
