"country_tid";"rank_law";"region_tid";"score_law";"title"
257.0;1.0;213.0;99.5;"Harvard University"
208.0;2.0;140.0;96.5;"University of Oxford"
208.0;3.0;140.0;96.1;"University of Cambridge"
257.0;4.0;213.0;94.0;"Yale University"
257.0;5.0;213.0;93.1;"New York University (NYU)"
257.0;6.0;213.0;89.3;"Stanford University"
208.0;7.0;140.0;89.0;"London School of Economics and Political Science (LSE)"
319.0;8.0;317.0;88.5;"The University of Melbourne"
257.0;9.0;213.0;86.5;"University of Chicago"
257.0;11.0;213.0;85.6;"Columbia University"
257.0;10.0;213.0;85.8;"University of California, Berkeley (UCB)"
208.0;12.0;140.0;84.8;"UCL (University College London)"
319.0;13.0;317.0;83.7;"The University of Sydney"
319.0;14.0;317.0;83.5;"The University of New South Wales"
319.0;15.0;317.0;81.0;"The Australian National University"
319.0;16.0;317.0;79.4;"Monash University"
257.0;17.0;213.0;79.1;"Georgetown University"
94.0;18.0;71.0;79.0;"The University of Hong Kong"
124.0;19.0;71.0;78.6;"National University of Singapore (NUS)"
208.0;20.0;140.0;77.6;"King's College London (KCL)"
222.0;21.0;213.0;76.7;"University of Toronto"
100.0;22.0;71.0;76.6;"The University of Tokyo"
187.0;23.0;140.0;76.4;"Leiden University"
162.0;24.0;140.0;76.0;"Ruprecht-Karls-Universität Heidelberg"
257.0;25.0;213.0;76.0;"University of Pennsylvania"
146.0;26.0;140.0;75.3;"KU Leuven"
158.0;27.0;140.0;74.8;"Université Paris 1 Panthéon-Sorbonne "
162.0;28.0;140.0;74.0;"Ludwig-Maximilians-Universität München"
334.0;29.0;317.0;74.0;"The University of Auckland"
257.0;30.0;213.0;73.8;"Cornell University"
257.0;31.0;213.0;72.6;"University of Michigan"
208.0;32.0;140.0;72.3;"University of Edinburgh"
222.0;33.0;213.0;72.1;"McGill University"
208.0;34.0;140.0;71.6;"The University of Nottingham"
257.0;35.0;213.0;71.3;"University of California, Los Angeles (UCLA)"
222.0;36.0;213.0;71.2;"University of British Columbia"
334.0;37.0;317.0;71.1;"University of Otago"
208.0;38.0;140.0;70.8;"The University of Warwick"
257.0;39.0;213.0;70.2;"University of Virginia"
54.0;40.0;6.0;70.0;"University of Cape Town"
162.0;41.0;140.0;69.9;"Universität Hamburg"
257.0;42.0;213.0;69.6;"Duke University"
355.0;43.0;349.0;69.2;"Pontificia Universidad Católica de Chile (UC)"
87.0;44.0;71.0;68.9;"Tsinghua University"
257.0;45.0;213.0;68.7;"Northwestern University"
319.0;46.0;317.0;68.4;"The University of Adelaide"
208.0;47.0;140.0;68.1;"University of Bristol"
187.0;48.0;140.0;68.0;"Utrecht University"
334.0;49.0;317.0;67.9;"Victoria University of Wellington"
187.0;50.0;140.0;67.3;"University of Amsterdam"
257.0;51.0;213.0;0.0;"American University"
257.0;52.0;213.0;0.0;"Boston University"
94.0;53.0;71.0;0.0;"City University of Hong Kong"
208.0;54.0;140.0;0.0;"Durham University"
319.0;55.0;317.0;0.0;"Griffith University"
162.0;56.0;140.0;0.0;"Humboldt-Universität zu Berlin"
106.0;57.0;71.0;0.0;"Korea University"
203.0;58.0;140.0;0.0;"Lund University"
187.0;59.0;140.0;0.0;"Maastricht University"
319.0;60.0;317.0;0.0;"Macquarie University"
128.0;61.0;71.0;0.0;"National Taiwan University (NTU)"
87.0;62.0;71.0;0.0;"Peking University"
208.0;63.0;140.0;0.0;"Queen Mary University of London (QMUL)"
208.0;64.0;140.0;0.0;"Queen's University of Belfast"
319.0;65.0;317.0;0.0;"Queensland University of Technology (QUT)"
162.0;66.0;140.0;0.0;"Rheinische Friedrich-Wilhelms-Universität Bonn"
174.0;67.0;140.0;0.0;"Sapienza University of Rome"
158.0;68.0;140.0;0.0;"Sciences Po Paris"
106.0;69.0;71.0;0.0;"Seoul National University"
87.0;70.0;71.0;0.0;"Shanghai Jiao Tong University"
203.0;71.0;140.0;0.0;"Stockholm University"
94.0;72.0;71.0;0.0;"The Chinese University of Hong Kong"
208.0;73.0;140.0;0.0;"The University of Manchester"
319.0;74.0;317.0;0.0;"The University of Queensland"
319.0;75.0;317.0;0.0;"The University of Western Australia"
187.0;76.0;140.0;0.0;"Tilburg University"
171.0;77.0;140.0;0.0;"Trinity College Dublin"
199.0;78.0;140.0;0.0;"Universidad Autónoma de Madrid"
199.0;79.0;140.0;0.0;"Universidad Carlos III de Madrid"
199.0;80.0;140.0;0.0;"University Complutense Madrid"
199.0;81.0;140.0;0.0;"University of Navarra"
241.0;82.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
353.0;83.0;349.0;0.0;"Universidade de São Paulo (USP)"
174.0;84.0;140.0;0.0;"University of Bologna"
199.0;85.0;140.0;0.0;"University of Barcelona"
162.0;86.0;140.0;0.0;"Universität Frankfurt am Main"
162.0;87.0;140.0;0.0;"Universität Freiburg"
146.0;88.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
171.0;89.0;140.0;0.0;"University College Cork"
