"country_tid";"rank_mechanical";"region_tid";"score_mechanical";"title"
257.0;1.0;213.0;97.4;"Massachusetts Institute of Technology (MIT) "
257.0;2.0;213.0;94.9;"Stanford University"
208.0;3.0;140.0;93.5;"University of Cambridge"
257.0;4.0;213.0;91.7;"University of California, Berkeley (UCB)"
257.0;5.0;213.0;90.4;"University of Michigan"
208.0;6.0;140.0;90.3;"Imperial College London"
124.0;7.0;71.0;90.3;"National University of Singapore (NUS)"
257.0;8.0;213.0;89.5;"Harvard University"
208.0;9.0;140.0;87.8;"University of Oxford"
100.0;10.0;71.0;87.7;"The University of Tokyo"
257.0;11.0;213.0;86.3;"Georgia Institute of Technology"
124.0;12.0;71.0;86.1;"Nanyang Technological University, Singapore (NTU)"
257.0;13.0;213.0;85.4;"California Institute of Technology (Caltech)"
257.0;14.0;213.0;85.2;"Purdue University"
87.0;15.0;71.0;85.1;"Tsinghua University"
257.0;16.0;213.0;84.9;"Northwestern University"
319.0;17.0;317.0;84.6;"The University of Melbourne"
162.0;18.0;140.0;84.4;"RWTH Aachen University"
187.0;19.0;140.0;84.2;"Delft University of Technology"
94.0;20.0;71.0;83.5;"The Hong Kong University of Science and Technology"
106.0;21.0;71.0;82.8;"KAIST - Korea Advanced Institute of Science & Technology"
203.0;22.0;140.0;82.1;"KTH Royal Institute of Technology"
257.0;23.0;213.0;82.0;"Princeton University"
257.0;24.0;213.0;81.9;"University of Illinois at Urbana-Champaign"
106.0;25.0;71.0;81.5;"Seoul National University"
205.0;26.0;140.0;81.2;"ETH Zurich - Swiss Federal Institute of Technology"
319.0;27.0;317.0;81.2;"The University of Sydney"
257.0;28.0;213.0;81.1;"Cornell University"
257.0;29.0;213.0;81.1;"University of California, Los Angeles (UCLA)"
100.0;30.0;71.0;80.8;"Kyoto University"
174.0;31.0;140.0;80.8;"Politecnico di Milano"
162.0;32.0;140.0;80.8;"Technische Universität München"
87.0;33.0;71.0;80.5;"Shanghai Jiao Tong University"
128.0;34.0;71.0;79.9;"National Taiwan University (NTU)"
94.0;35.0;71.0;79.9;"The University of Hong Kong"
100.0;36.0;71.0;79.6;"Tokyo Institute of Technology"
257.0;37.0;213.0;79.5;"Pennsylvania State University"
319.0;38.0;317.0;79.5;"The University of New South Wales"
208.0;39.0;140.0;79.3;"Cranfield University"
87.0;40.0;71.0;79.0;"Peking University"
319.0;41.0;317.0;78.9;"Monash University"
94.0;42.0;71.0;78.5;"The Hong Kong Polytechnic University"
106.0;43.0;71.0;77.9;"Pohang University of Science And Technology (POSTECH)"
208.0;44.0;140.0;77.7;"The University of Manchester"
100.0;45.0;71.0;77.6;"Tohoku University"
257.0;46.0;213.0;77.6;"University of Pennsylvania"
205.0;47.0;140.0;77.4;"EPFL (Ecole Polytechnique Fédérale de Lausanne)"
222.0;48.0;213.0;76.9;"McGill University"
162.0;49.0;140.0;76.9;"Universität Stuttgart"
257.0;50.0;213.0;76.7;"University of Texas at Austin"
319.0;51.0;317.0;0.0;"The Australian National University"
257.0;52.0;213.0;0.0;"Brown University"
203.0;53.0;140.0;0.0;"Chalmers University of Technology"
94.0;54.0;71.0;0.0;"City University of Hong Kong"
257.0;55.0;213.0;0.0;"Columbia University"
257.0;56.0;213.0;0.0;"Duke University"
187.0;57.0;140.0;0.0;"Eindhoven University of Technology"
96.0;58.0;71.0;0.0;"Indian Institute of Technology Bombay (IITB)"
96.0;59.0;71.0;0.0;"Indian Institute of Technology Delhi (IITD)"
96.0;60.0;71.0;0.0;"Indian Institute of Technology, Madras (IITM)"
257.0;61.0;213.0;0.0;"Johns Hopkins University"
146.0;62.0;140.0;0.0;"KU Leuven"
162.0;63.0;140.0;0.0;"Karlsruhe Institute of Technology (KIT)"
106.0;64.0;71.0;0.0;"Korea University"
208.0;65.0;140.0;0.0;"Loughborough University"
134.0;66.0;71.0;0.0;"Middle East Technical University"
128.0;67.0;71.0;0.0;"National Cheng Kung University"
128.0;68.0;71.0;0.0;"National Chiao Tung University"
128.0;69.0;71.0;0.0;"National Tsing Hua University"
257.0;70.0;213.0;0.0;"North Carolina State University"
257.0;71.0;213.0;0.0;"Ohio State University"
100.0;72.0;71.0;0.0;"Osaka University"
174.0;73.0;140.0;0.0;"Politecnico di Torino"
319.0;74.0;317.0;0.0;"RMIT University"
106.0;75.0;71.0;0.0;"Sungkyunkwan University"
152.0;76.0;140.0;0.0;"Technical University of Denmark"
162.0;77.0;140.0;0.0;"Technische Universität Berlin"
162.0;78.0;140.0;0.0;"Technische Universität Darmstadt"
162.0;79.0;140.0;0.0;"Technische Universität Dresden"
257.0;80.0;213.0;0.0;"Texas A&M University"
94.0;81.0;71.0;0.0;"The Chinese University of Hong Kong"
334.0;82.0;317.0;0.0;"The University of Auckland"
208.0;83.0;140.0;0.0;"The University of Nottingham"
319.0;84.0;317.0;0.0;"The University of Queensland"
208.0;85.0;140.0;0.0;"The University of Sheffield"
353.0;86.0;349.0;0.0;"Universidade de São Paulo (USP)"
113.0;87.0;71.0;0.0;"Universiti Malaya (UM)"
113.0;88.0;71.0;0.0;"Universiti Sains Malaysia (USM)"
208.0;89.0;140.0;0.0;"University of Bristol"
222.0;90.0;213.0;0.0;"University of British Columbia"
208.0;91.0;140.0;0.0;"University of Liverpool"
257.0;92.0;213.0;0.0;"University of Minnesota"
208.0;93.0;140.0;0.0;"University of Southampton"
222.0;94.0;213.0;0.0;"University of Toronto"
257.0;95.0;213.0;0.0;"University of Wisconsin-Madison"
257.0;96.0;213.0;0.0;"Virginia Tech"
100.0;97.0;71.0;0.0;"Waseda University"
87.0;98.0;71.0;0.0;"Xi'an Jiaotong University"
257.0;99.0;213.0;0.0;"Yale University"
106.0;100.0;71.0;0.0;"Yonsei University"
87.0;101.0;71.0;0.0;"Zhejiang University"
257.0;102.0;213.0;0.0;"Arizona State University"
257.0;103.0;213.0;0.0;"Carnegie Mellon University"
131.0;104.0;71.0;0.0;"Chulalongkorn University"
151.0;105.0;140.0;0.0;"Czech Technical University In Prague"
158.0;106.0;140.0;0.0;"Ecole Centrale de Lyon"
158.0;107.0;140.0;0.0;"Ecole Polytechnique"
87.0;108.0;71.0;0.0;"Fudan University"
106.0;109.0;71.0;0.0;"Hanyang University"
87.0;110.0;71.0;0.0;"Harbin Institute of Technology"
96.0;111.0;71.0;0.0;"Indian Institute of Science"
96.0;112.0;71.0;0.0;"Indian Institute of Technology Kanpur (IITK)"
96.0;113.0;71.0;0.0;"Indian Institute of Technology, Kharagpur"
158.0;114.0;140.0;0.0;"Institut National des Sciences Appliquées de Lyon (INSA)"
77.0;115.0;71.0;0.0;"King Fahd University of Petroleum & Minerals"
100.0;116.0;71.0;0.0;"Kyushu University"
203.0;117.0;140.0;0.0;"Lund University"
222.0;118.0;213.0;0.0;"McMaster University"
257.0;119.0;213.0;0.0;"Michigan State University"
100.0;120.0;71.0;0.0;"Nagoya University"
128.0;121.0;71.0;0.0;"National Central University"
128.0;122.0;71.0;0.0;"National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)"
166.0;123.0;140.0;0.0;"National Technical University of Athens"
189.0;124.0;140.0;0.0;"Norwegian University of Science And Technology"
199.0;125.0;140.0;0.0;"Politécnica de Madrid"
319.0;126.0;317.0;0.0;"Queensland University of Technology (QUT)"
257.0;127.0;213.0;0.0;"Rensselaer Polytechnic Institute"
257.0;128.0;213.0;0.0;"Rice University"
174.0;129.0;140.0;0.0;"Sapienza University of Rome"
162.0;130.0;140.0;0.0;"Technische Universität Braunschweig"
143.0;131.0;140.0;0.0;"Graz University of Technology"
319.0;132.0;317.0;0.0;"The University of Adelaide"
208.0;133.0;140.0;0.0;"The University of Warwick"
87.0;134.0;71.0;0.0;"Tianjin University"
100.0;135.0;71.0;0.0;"Tokyo University of Science"
208.0;136.0;140.0;0.0;"UCL (University College London)"
353.0;137.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
174.0;138.0;140.0;0.0;"University of Bologna"
222.0;139.0;213.0;0.0;"Université de Montréal "
113.0;140.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
113.0;141.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
