"country_tid";"rank_medicine";"region_tid";"score_medicine";"title"
257.0;1.0;213.0;98.4;"Harvard University"
208.0;2.0;140.0;93.5;"University of Oxford"
208.0;3.0;140.0;91.9;"University of Cambridge"
257.0;4.0;213.0;90.2;"Stanford University"
257.0;5.0;213.0;89.8;"University of California, Los Angeles (UCLA)"
257.0;6.0;213.0;89.5;"Johns Hopkins University"
257.0;7.0;213.0;88.5;"Yale University"
208.0;8.0;140.0;86.9;"UCL (University College London)"
257.0;9.0;213.0;86.6;"University of California, San Francisco"
257.0;11.0;213.0;85.0;"University of Pennsylvania"
208.0;10.0;140.0;85.9;"Imperial College London"
319.0;12.0;317.0;84.9;"The University of Melbourne"
257.0;13.0;213.0;84.8;"Columbia University"
222.0;14.0;213.0;84.5;"University of Toronto"
257.0;15.0;213.0;84.1;"Duke University"
203.0;16.0;140.0;83.7;"Karolinska Institute"
319.0;17.0;317.0;83.2;"The University of Sydney"
257.0;18.0;213.0;83.1;"Massachusetts Institute of Technology (MIT) "
208.0;19.0;140.0;82.4;"King's College London (KCL)"
100.0;20.0;71.0;81.8;"The University of Tokyo"
124.0;21.0;71.0;81.6;"National University of Singapore (NUS)"
257.0;22.0;213.0;81.6;"University of Michigan"
257.0;23.0;213.0;80.7;"University of Washington"
94.0;24.0;71.0;79.9;"The University of Hong Kong"
257.0;25.0;213.0;79.9;"Washington University in St. Louis"
222.0;26.0;213.0;79.7;"McGill University"
187.0;27.0;140.0;79.6;"Erasmus University Rotterdam"
257.0;28.0;213.0;79.5;"University of California, San Diego (UCSD)"
319.0;29.0;317.0;78.6;"The University of New South Wales"
208.0;30.0;140.0;78.6;"University of Edinburgh"
162.0;31.0;140.0;78.5;"Ruprecht-Karls-Universität Heidelberg"
257.0;32.0;213.0;78.3;"New York University (NYU)"
319.0;33.0;317.0;78.0;"Monash University"
152.0;34.0;140.0;77.7;"University of Copenhagen"
100.0;35.0;71.0;77.3;"Kyoto University"
257.0;36.0;213.0;77.2;"Cornell University"
187.0;37.0;140.0;77.2;"Leiden University"
257.0;38.0;213.0;77.1;"Mayo Medical School"
222.0;39.0;213.0;76.8;"University of British Columbia"
208.0;40.0;140.0;76.6;"The University of Manchester"
205.0;41.0;140.0;76.5;"University of Zurich (UZH)"
319.0;42.0;317.0;75.9;"The University of Queensland"
128.0;43.0;71.0;75.8;"National Taiwan University (NTU)"
162.0;44.0;140.0;75.7;"Ludwig-Maximilians-Universität München"
187.0;45.0;140.0;75.7;"University of Amsterdam"
257.0;46.0;213.0;75.5;"University of Chicago"
257.0;47.0;213.0;75.5;"University of Pittsburgh"
257.0;48.0;213.0;75.2;"Boston University"
94.0;49.0;71.0;74.9;"The Chinese University of Hong Kong"
222.0;50.0;213.0;74.8;"McMaster University"
152.0;51.0;140.0;0.0;"Aarhus University"
319.0;52.0;317.0;0.0;"The Australian National University"
257.0;53.0;213.0;0.0;"Baylor College of Medicine"
257.0;54.0;213.0;0.0;"Emory University"
162.0;55.0;140.0;0.0;"Humboldt-Universität zu Berlin"
146.0;56.0;140.0;0.0;"KU Leuven"
257.0;60.0;213.0;0.0;"Northwestern University"
208.0;57.0;140.0;0.0;"London School of Hygiene and Tropical Medicine"
203.0;58.0;140.0;0.0;"Lund University"
187.0;59.0;140.0;0.0;"Maastricht University"
100.0;61.0;71.0;0.0;"Osaka University"
208.0;62.0;140.0;0.0;"Queen Mary University of London (QMUL)"
187.0;63.0;140.0;0.0;"Radboud University Nijmegen"
257.0;64.0;213.0;0.0;"Rockefeller University"
106.0;65.0;71.0;0.0;"Seoul National University"
128.0;66.0;71.0;0.0;"Taipei Medical University"
162.0;67.0;140.0;0.0;"Technische Universität München"
319.0;68.0;317.0;0.0;"The University of Adelaide"
334.0;69.0;317.0;0.0;"The University of Auckland"
208.0;70.0;140.0;0.0;"The University of Nottingham"
208.0;71.0;140.0;0.0;"The University of Sheffield"
257.0;72.0;213.0;0.0;"The University of Texas M. D. Anderson Cancer Center "
319.0;73.0;317.0;0.0;"The University of Western Australia"
171.0;74.0;140.0;0.0;"Trinity College Dublin"
353.0;75.0;349.0;0.0;"Universidade de São Paulo (USP)"
174.0;77.0;140.0;0.0;"University of Bologna"
199.0;78.0;140.0;0.0;"University of Barcelona"
222.0;79.0;213.0;0.0;"Université de Montréal "
158.0;80.0;140.0;0.0;"Université Pierre et Marie Curie (UPMC)"
208.0;81.0;140.0;0.0;"University of Birmingham"
208.0;82.0;140.0;0.0;"University of Bristol"
222.0;83.0;213.0;0.0;"University of Calgary"
208.0;84.0;140.0;0.0;"University of Dundee"
205.0;85.0;140.0;0.0;"University of Geneva"
146.0;86.0;140.0;0.0;"University of Ghent"
208.0;87.0;140.0;0.0;"University of Glasgow"
156.0;88.0;140.0;0.0;"University of Helsinki"
205.0;89.0;140.0;0.0;"University of Lausanne"
208.0;90.0;140.0;0.0;"University of Leeds"
208.0;91.0;140.0;0.0;"University of Liverpool"
189.0;92.0;140.0;0.0;"University of Oslo"
334.0;93.0;317.0;0.0;"University of Otago"
208.0;94.0;140.0;0.0;"University of Southampton"
257.0;95.0;213.0;0.0;"University of Southern California"
257.0;96.0;213.0;0.0;"University of Wisconsin-Madison"
203.0;97.0;140.0;0.0;"Uppsala University"
187.0;98.0;140.0;0.0;"Utrecht University"
257.0;99.0;213.0;0.0;"Vanderbilt University"
187.0;100.0;140.0;0.0;"VU University Amsterdam"
257.0;101.0;213.0;0.0;"Brown University"
257.0;102.0;213.0;0.0;"California Institute of Technology (Caltech)"
131.0;103.0;71.0;0.0;"Chulalongkorn University"
162.0;104.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
87.0;105.0;71.0;0.0;"Fudan University"
74.0;106.0;71.0;0.0;"The Hebrew University of Jerusalem"
100.0;107.0;71.0;0.0;"Keio University"
100.0;108.0;71.0;0.0;"Kyushu University"
131.0;109.0;71.0;0.0;"Mahidol University"
143.0;110.0;140.0;0.0;"Medical University of Vienna"
257.0;111.0;213.0;0.0;"Icahn School of Medicine at Mount Sinai"
100.0;112.0;71.0;0.0;"Nagoya University"
208.0;113.0;140.0;0.0;"Newcastle University"
257.0;114.0;213.0;0.0;"Ohio State University"
87.0;115.0;71.0;0.0;"Peking University"
257.0;116.0;213.0;0.0;"Pennsylvania State University"
162.0;117.0;140.0;0.0;"Rheinische Friedrich-Wilhelms-Universität Bonn"
174.0;118.0;140.0;0.0;"Sapienza University of Rome"
87.0;119.0;71.0;0.0;"Shanghai Jiao Tong University"
106.0;120.0;71.0;0.0;"Sungkyunkwan University"
208.0;121.0;140.0;0.0;"The University of Warwick"
100.0;122.0;71.0;0.0;"Tohoku University"
100.0;123.0;71.0;0.0;"Tokyo Medical and Dental University (TMDU)"
257.0;124.0;213.0;0.0;"Tufts University"
241.0;125.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
353.0;126.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
353.0;127.0;349.0;0.0;"Universidade Federal de São Paulo (UNIFESP)"
174.0;128.0;140.0;0.0;"University of Pisa"
162.0;129.0;140.0;0.0;"Universität Frankfurt am Main"
162.0;130.0;140.0;0.0;"Universität Freiburg"
162.0;131.0;140.0;0.0;"Universität Hamburg"
162.0;132.0;140.0;0.0;"Universität zu Köln"
146.0;133.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
146.0;134.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;135.0;140.0;0.0;"Université Paris Descartes"
208.0;136.0;140.0;0.0;"University of Aberdeen"
222.0;137.0;213.0;0.0;"University of Alberta"
205.0;138.0;140.0;0.0;"University of Basel"
205.0;139.0;140.0;0.0;"University of Bern"
257.0;140.0;213.0;0.0;"University of California, Davis"
54.0;141.0;6.0;0.0;"University of Cape Town"
257.0;142.0;213.0;0.0;"University of Florida"
203.0;143.0;140.0;0.0;"University of Gothenburg"
187.0;144.0;140.0;0.0;"University of Groningen"
257.0;145.0;213.0;0.0;"University of Illinois at Chicago"
257.0;146.0;213.0;0.0;"University of Massachusetts Medical School - Worcester "
257.0;147.0;213.0;0.0;"University of Miami"
257.0;148.0;213.0;0.0;"University of Minnesota"
222.0;149.0;213.0;0.0;"University of Ottawa"
257.0;150.0;213.0;0.0;"University of Virginia"
162.0;151.0;140.0;0.0;"Westfälische Wilhelms-Universität Münster "
106.0;152.0;71.0;0.0;"Yonsei University"
208.0;153.0;140.0;0.0;"Cardiff University"
257.0;154.0;213.0;0.0;"Case Western Reserve University"
257.0;155.0;213.0;0.0;"Dartmouth College"
162.0;156.0;140.0;0.0;"Freie Universität Berlin"
162.0;157.0;140.0;0.0;"Georg-August-Universität Göttingen"
