"country_tid";"rank_overall";"region_tid";"score_overall";"title"
257.0;1.0;213.0;100.0;"Massachusetts Institute of Technology (MIT) "
208.0;2.0;140.0;99.4;"University of Cambridge"
208.0;3.0;140.0;99.4;"Imperial College London"
257.0;4.0;213.0;99.3;"Harvard University"
208.0;5.0;140.0;99.2;"University of Oxford"
208.0;6.0;140.0;99.2;"UCL (University College London)"
257.0;7.0;213.0;98.3;"Stanford University"
257.0;8.0;213.0;97.1;"California Institute of Technology (Caltech)"
257.0;9.0;213.0;96.6;"Princeton University"
257.0;10.0;213.0;96.5;"Yale University"
257.0;11.0;213.0;95.5;"University of Chicago"
205.0;12.0;140.0;95.3;"ETH Zurich - Swiss Federal Institute of Technology"
257.0;13.0;213.0;94.5;"University of Pennsylvania"
257.0;14.0;213.0;94.1;"Columbia University"
257.0;15.0;213.0;94.1;"Johns Hopkins University"
208.0;16.0;140.0;92.9;"King's College London (KCL)"
208.0;17.0;140.0;92.8;"University of Edinburgh"
205.0;18.0;140.0;92.8;"EPFL (Ecole Polytechnique Fédérale de Lausanne)"
257.0;19.0;213.0;92.6;"Cornell University"
222.0;20.0;213.0;92.4;"University of Toronto"
222.0;21.0;213.0;91.5;"McGill University"
124.0;22.0;71.0;91.1;"National University of Singapore (NUS)"
257.0;23.0;213.0;90.3;"University of Michigan"
158.0;24.0;140.0;90.2;"Ecole normale supérieure, Paris"
319.0;25.0;317.0;89.7;"The Australian National University"
257.0;26.0;213.0;89.7;"Duke University"
257.0;27.0;213.0;89.5;"University of California, Berkeley (UCB)"
94.0;28.0;71.0;88.8;"The University of Hong Kong"
208.0;29.0;140.0;88.5;"University of Bristol"
208.0;30.0;140.0;86.9;"The University of Manchester"
100.0;31.0;71.0;86.7;"The University of Tokyo"
106.0;32.0;71.0;86.7;"Seoul National University"
319.0;33.0;317.0;86.5;"The University of Melbourne"
257.0;34.0;213.0;86.0;"Northwestern University"
158.0;35.0;140.0;85.0;"Ecole Polytechnique"
100.0;36.0;71.0;84.7;"Kyoto University"
257.0;37.0;213.0;84.3;"University of California, Los Angeles (UCLA)"
319.0;38.0;317.0;84.3;"The University of Sydney"
124.0;39.0;71.0;84.0;"Nanyang Technological University, Singapore (NTU)"
94.0;40.0;71.0;83.3;"The Hong Kong University of Science and Technology"
257.0;41.0;213.0;82.5;"New York University (NYU)"
257.0;42.0;213.0;82.5;"University of Wisconsin-Madison"
222.0;43.0;213.0;82.4;"University of British Columbia"
319.0;44.0;317.0;82.4;"The University of Queensland"
152.0;45.0;140.0;82.0;"University of Copenhagen"
94.0;46.0;71.0;81.9;"The Chinese University of Hong Kong"
87.0;47.0;71.0;81.3;"Tsinghua University"
319.0;48.0;317.0;81.2;"The University of New South Wales"
162.0;49.0;140.0;81.1;"Ruprecht-Karls-Universität Heidelberg"
187.0;50.0;140.0;80.5;"University of Amsterdam"
106.0;51.0;71.0;79.9;"KAIST - Korea Advanced Institute of Science & Technology"
162.0;52.0;140.0;79.8;"Ludwig-Maximilians-Universität München"
257.0;53.0;213.0;79.8;"Brown University"
162.0;54.0;140.0;79.7;"Technische Universität München"
100.0;55.0;71.0;79.6;"Osaka University"
208.0;56.0;140.0;79.6;"University of Glasgow"
87.0;57.0;71.0;78.8;"Peking University"
205.0;58.0;140.0;78.8;"University of Zurich (UZH)"
257.0;59.0;213.0;78.6;"University of California, San Diego (UCSD)"
203.0;60.0;140.0;78.3;"Lund University"
208.0;61.0;140.0;78.1;"The University of Warwick"
257.0;62.0;213.0;77.5;"University of North Carolina, Chapel Hill"
257.0;63.0;213.0;76.9;"University of Illinois at Urbana-Champaign"
208.0;64.0;140.0;76.7;"University of Birmingham"
257.0;65.0;213.0;76.5;"University of Washington"
257.0;66.0;213.0;76.5;"Carnegie Mellon University"
156.0;67.0;140.0;76.4;"University of Helsinki"
100.0;68.0;71.0;76.3;"Tokyo Institute of Technology"
208.0;69.0;140.0;75.7;"The University of Sheffield"
319.0;70.0;317.0;75.5;"Monash University"
87.0;71.0;71.0;75.3;"Fudan University"
208.0;72.0;140.0;75.3;"London School of Economics and Political Science (LSE)"
100.0;73.0;71.0;75.3;"Tohoku University"
171.0;74.0;140.0;75.3;"Trinity College Dublin"
187.0;75.0;140.0;75.2;"Leiden University"
128.0;76.0;71.0;75.1;"National Taiwan University (NTU)"
208.0;77.0;140.0;74.9;"The University of Nottingham"
257.0;78.0;213.0;74.8;"Boston University"
257.0;79.0;213.0;74.6;"University of Texas at Austin"
187.0;80.0;140.0;74.5;"Utrecht University"
203.0;81.0;140.0;74.2;"Uppsala University"
146.0;82.0;140.0;74.1;"KU Leuven"
222.0;83.0;213.0;73.6;"Université de Montréal "
222.0;84.0;213.0;73.3;"University of Alberta"
205.0;85.0;140.0;73.1;"University of Geneva"
187.0;86.0;140.0;72.9;"Delft University of Technology"
106.0;87.0;71.0;72.9;"Pohang University of Science And Technology (POSTECH)"
208.0;88.0;140.0;72.7;"University of St Andrews"
319.0;89.0;317.0;72.6;"The University of Western Australia"
187.0;90.0;140.0;72.1;"University of Groningen"
187.0;91.0;140.0;72.1;"Erasmus University Rotterdam"
334.0;92.0;317.0;72.0;"The University of Auckland"
208.0;93.0;140.0;72.0;"Durham University"
208.0;94.0;140.0;71.9;"University of Southampton"
257.0;95.0;213.0;71.7;"University of California, Davis"
152.0;96.0;140.0;71.6;"Aarhus University"
208.0;97.0;140.0;71.3;"University of Leeds"
208.0;98.0;140.0;71.2;"Queen Mary University of London (QMUL)"
257.0;99.0;213.0;70.8;"Washington University in St. Louis"
319.0;100.0;317.0;70.5;"The University of Adelaide"
189.0;101.0;140.0;70.1;"University of Oslo"
257.0;102.0;213.0;69.5;"Purdue University"
100.0;103.0;71.0;69.4;"Nagoya University"
87.0;104.0;71.0;69.1;"Shanghai Jiao Tong University"
205.0;105.0;140.0;68.9;"University of Lausanne"
106.0;106.0;71.0;68.4;"Yonsei University"
257.0;107.0;213.0;68.3;"Georgia Institute of Technology"
94.0;108.0;71.0;68.2;"City University of Hong Kong"
257.0;109.0;213.0;68.1;"Ohio State University"
203.0;110.0;140.0;67.9;"KTH Royal Institute of Technology"
257.0;111.0;213.0;67.7;"University of Pittsburgh"
257.0;112.0;213.0;67.5;"Pennsylvania State University"
222.0;113.0;213.0;67.4;"McMaster University"
193.0;114.0;140.0;66.9;"Lomonosov MSU"
158.0;115.0;140.0;66.2;"Université Pierre et Marie Curie (UPMC)"
106.0;116.0;71.0;66.0;"Korea University"
205.0;117.0;140.0;66.0;"University of Basel"
187.0;118.0;140.0;65.8;"Maastricht University"
257.0;119.0;213.0;65.7;"University of Minnesota"
208.0;120.0;140.0;65.1;"University of York"
162.0;121.0;140.0;64.8;"Universität Freiburg"
257.0;122.0;213.0;64.7;"University of Maryland, College Park"
208.0;123.0;140.0;64.5;"Cardiff University"
208.0;124.0;140.0;64.5;"University of Liverpool"
152.0;125.0;140.0;64.5;"Technical University of Denmark"
100.0;126.0;71.0;64.4;"Kyushu University"
162.0;127.0;140.0;64.3;"Karlsruhe Institute of Technology (KIT)"
208.0;128.0;140.0;64.3;"Newcastle University"
146.0;129.0;140.0;64.2;"University of Ghent"
257.0;130.0;213.0;64.2;"Rice University"
257.0;131.0;213.0;64.0;"University of Southern California"
353.0;132.0;349.0;63.9;"Universidade de São Paulo (USP)"
257.0;133.0;213.0;63.9;"University of California, Santa Barbara (UCSB)"
162.0;134.0;140.0;63.7;"Humboldt-Universität zu Berlin"
100.0;135.0;71.0;63.4;"Hokkaido University"
257.0;136.0;213.0;63.3;"Dartmouth College"
208.0;137.0;140.0;62.9;"University of Aberdeen"
74.0;138.0;71.0;62.7;"The Hebrew University of Jerusalem"
171.0;139.0;140.0;62.6;"University College Dublin"
106.0;140.0;71.0;62.2;"Sungkyunkwan University"
54.0;141.0;6.0;62.0;"University of Cape Town"
162.0;142.0;140.0;62.0;"Eberhard Karls Universität Tübingen"
257.0;143.0;213.0;62.0;"University of Virginia"
87.0;144.0;71.0;61.9;"Zhejiang University"
205.0;145.0;140.0;61.8;"University of Bern"
162.0;146.0;140.0;61.5;"Georg-August-Universität Göttingen"
162.0;147.0;140.0;61.2;"RWTH Aachen University"
87.0;148.0;71.0;61.2;"University of Science and Technology of China"
187.0;149.0;140.0;61.2;"Eindhoven University of Technology"
162.0;150.0;140.0;61.1;"Freie Universität Berlin"
113.0;151.0;71.0;61.0;"Universiti Malaya (UM)"
187.0;152.0;140.0;61.0;"Wageningen University"
257.0;153.0;213.0;60.8;"UC Irvine - Extension, English and Certificates for Internationals"
146.0;154.0;140.0;60.7;"Université Catholique de Louvain (UCL)"
189.0;155.0;140.0;60.3;"University of Bergen"
143.0;156.0;140.0;60.0;"University of Vienna"
187.0;157.0;140.0;60.0;"Radboud University Nijmegen"
257.0;158.0;213.0;60.0;"Emory University"
334.0;159.0;317.0;59.9;"University of Otago"
208.0;160.0;140.0;59.7;"Lancaster University"
208.0;161.0;140.0;59.6;"The University of Exeter"
87.0;162.0;71.0;59.3;"Nanjing University"
94.0;163.0;71.0;59.3;"The Hong Kong Polytechnic University"
257.0;164.0;213.0;59.0;"University of Rochester"
257.0;165.0;213.0;58.8;"Texas A&M University"
199.0;166.0;140.0;58.7;"University of Barcelona"
355.0;167.0;349.0;58.3;"Pontificia Universidad Católica de Chile (UC)"
128.0;168.0;71.0;58.3;"National Tsing Hua University"
222.0;169.0;213.0;57.8;"University of Waterloo"
208.0;170.0;140.0;57.7;"Queen's University of Belfast"
187.0;171.0;140.0;57.6;"VU University Amsterdam"
222.0;172.0;213.0;57.6;"University of Calgary"
199.0;173.0;140.0;57.5;"Universitat Autònoma de Barcelona"
146.0;174.0;140.0;57.5;"Université Libre de Bruxelles (ULB)"
241.0;175.0;213.0;56.9;"Universidad Nacional Autónoma de México (UNAM)"
203.0;176.0;140.0;56.9;"Chalmers University of Technology"
162.0;177.0;140.0;56.8;"Rheinische Friedrich-Wilhelms-Universität Bonn"
199.0;178.0;140.0;56.5;"Universidad Autónoma de Madrid"
158.0;179.0;140.0;56.3;"École Normale Supérieure de Lyon"
208.0;180.0;140.0;56.3;"University of Bath"
146.0;181.0;140.0;56.2;"Vrije Universiteit Brussel (VUB)"
174.0;182.0;140.0;55.8;"University of Bologna"
203.0;183.0;140.0;55.8;"Stockholm University"
257.0;184.0;213.0;55.8;"University of Colorado Boulder"
257.0;185.0;213.0;55.8;"Vanderbilt University"
257.0;186.0;213.0;55.7;"University of Illinois at Chicago"
