"country_tid";"rank_pharmacy";"region_tid";"score_pharmacy";"title"
257.0;1.0;213.0;98.7;"Harvard University"
208.0;2.0;140.0;95.0;"University of Oxford"
208.0;3.0;140.0;91.1;"King's College London (KCL)"
208.0;4.0;140.0;90.3;"UCL (University College London)"
208.0;5.0;140.0;89.6;"The University of Manchester"
208.0;6.0;140.0;89.3;"University of Cambridge"
203.0;7.0;140.0;89.2;"Karolinska Institute"
319.0;8.0;317.0;89.0;"Monash University"
208.0;9.0;140.0;88.4;"The University of Nottingham"
257.0;10.0;213.0;88.2;"Yale University"
100.0;14.0;71.0;88.0;"The University of Tokyo"
319.0;11.0;317.0;88.1;"The University of New South Wales"
208.0;12.0;140.0;88.0;"Imperial College London"
124.0;13.0;71.0;88.0;"National University of Singapore (NUS)"
257.0;15.0;213.0;87.9;"University of Michigan"
257.0;16.0;213.0;87.6;"University of California, San Francisco"
222.0;17.0;213.0;87.6;"University of Toronto"
257.0;18.0;213.0;87.1;"University of California, San Diego (UCSD)"
257.0;19.0;213.0;85.1;"University of Arizona"
187.0;20.0;140.0;84.8;"Leiden University"
146.0;21.0;140.0;84.7;"KU Leuven"
222.0;22.0;213.0;84.6;"University of British Columbia"
257.0;23.0;213.0;84.3;"University of Pennsylvania"
100.0;24.0;71.0;83.9;"Kyoto University"
257.0;25.0;213.0;83.6;"Duke University"
257.0;26.0;213.0;83.2;"University of Wisconsin-Madison"
205.0;27.0;140.0;83.0;"University of Geneva"
257.0;28.0;213.0;82.5;"Johns Hopkins University"
106.0;29.0;71.0;82.2;"Seoul National University"
152.0;30.0;140.0;82.2;"University of Copenhagen"
319.0;31.0;317.0;81.8;"The University of Sydney"
319.0;32.0;317.0;81.7;"The University of Melbourne"
319.0;33.0;317.0;81.6;"The University of Queensland"
203.0;34.0;140.0;81.6;"Uppsala University"
257.0;35.0;213.0;81.1;"Columbia University"
205.0;36.0;140.0;80.4;"ETH Zurich - Swiss Federal Institute of Technology"
94.0;37.0;71.0;80.2;"The University of Hong Kong"
87.0;38.0;71.0;79.7;"Peking University"
334.0;39.0;317.0;79.6;"The University of Auckland"
222.0;40.0;213.0;79.5;"McGill University"
208.0;41.0;140.0;79.2;"University of Strathclyde"
222.0;42.0;213.0;78.7;"University of Alberta"
257.0;43.0;213.0;78.7;"University of Washington"
208.0;44.0;140.0;78.0;"University of Glasgow"
162.0;45.0;140.0;77.7;"Ludwig-Maximilians-Universität München"
257.0;46.0;213.0;77.7;"University of North Carolina, Chapel Hill"
106.0;47.0;71.0;77.6;"Sungkyunkwan University"
353.0;48.0;349.0;77.5;"Universidade de São Paulo (USP)"
131.0;49.0;71.0;76.7;"Mahidol University"
208.0;50.0;140.0;76.7;"University of Birmingham"
257.0;51.0;213.0;76.7;"University of Southern California"
257.0;52.0;213.0;0.0;"Cornell University"
162.0;53.0;140.0;0.0;"Freie Universität Berlin"
87.0;54.0;71.0;0.0;"Fudan University"
162.0;55.0;140.0;0.0;"Georg-August-Universität Göttingen"
257.0;56.0;213.0;0.0;"Georgetown University"
106.0;57.0;71.0;0.0;"Korea University"
106.0;58.0;71.0;0.0;"Kyung Hee University"
128.0;59.0;71.0;0.0;"National Taiwan University (NTU)"
257.0;60.0;213.0;0.0;"New York University (NYU)"
257.0;61.0;213.0;0.0;"Ohio State University"
100.0;62.0;71.0;0.0;"Osaka University"
162.0;63.0;140.0;0.0;"Philipps-Universität Marburg "
257.0;64.0;213.0;0.0;"Purdue University"
162.0;65.0;140.0;0.0;"Ruprecht-Karls-Universität Heidelberg"
174.0;66.0;140.0;0.0;"Sapienza University of Rome"
162.0;67.0;140.0;0.0;"Technische Universität München"
257.0;68.0;213.0;0.0;"The University of Texas M. D. Anderson Cancer Center "
171.0;69.0;140.0;0.0;"Trinity College Dublin"
257.0;70.0;213.0;0.0;"Tufts University"
241.0;71.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
353.0;72.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
353.0;73.0;349.0;0.0;"Universidade Estadual Paulista 'Júlio de Mesquita Filho' (UNESP)"
353.0;74.0;349.0;0.0;"Universidade Federal de São Paulo (UNIFESP)"
353.0;75.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
199.0;77.0;140.0;0.0;"University of Barcelona"
162.0;78.0;140.0;0.0;"Friedrich-Alexander-Universität Erlangen-Nürnberg"
162.0;79.0;140.0;0.0;"Universität Frankfurt am Main"
162.0;80.0;140.0;0.0;"Universität Freiburg"
146.0;81.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
158.0;82.0;140.0;0.0;"Université Paris Descartes"
158.0;83.0;140.0;0.0;"Université Paris-Sud 11"
158.0;84.0;140.0;0.0;"Université Pierre et Marie Curie (UPMC)"
113.0;85.0;71.0;0.0;"Universiti Sains Malaysia (USM)"
205.0;86.0;140.0;0.0;"University of Basel"
208.0;87.0;140.0;0.0;"University of Bristol"
208.0;88.0;140.0;0.0;"University of Dundee"
257.0;89.0;213.0;0.0;"University of Florida"
257.0;90.0;213.0;0.0;"University of Illinois at Chicago"
257.0;91.0;213.0;0.0;"University of Kansas"
205.0;92.0;140.0;0.0;"University of Lausanne"
208.0;93.0;140.0;0.0;"University of Leeds"
257.0;94.0;213.0;0.0;"University of Minnesota"
257.0;95.0;213.0;0.0;"University of Pittsburgh"
257.0;96.0;213.0;0.0;"University of Texas at Austin"
257.0;97.0;213.0;0.0;"University of Utah"
