"country_tid";"rank_philosophy";"region_tid";"score_philosophy";"title"
257.0;1.0;213.0;92.1;"New York University (NYU)"
208.0;2.0;140.0;91.7;"University of Oxford"
257.0;3.0;213.0;90.4;"University of Pittsburgh"
257.0;4.0;213.0;88.3;"Rutgers, The State University of New Jersey, New Brunswick"
208.0;5.0;140.0;87.9;"University of Cambridge"
257.0;6.0;213.0;87.7;"Harvard University"
257.0;7.0;213.0;84.4;"Princeton University"
257.0;8.0;213.0;81.9;"University of California, Berkeley (UCB)"
257.0;9.0;213.0;81.6;"Stanford University"
257.0;10.0;213.0;81.3;"Massachusetts Institute of Technology (MIT) "
257.0;12.0;213.0;75.7;"University of Michigan"
257.0;11.0;213.0;77.1;"Yale University"
319.0;13.0;317.0;75.6;"The Australian National University"
208.0;14.0;140.0;75.1;"London School of Economics and Political Science (LSE)"
222.0;15.0;213.0;74.6;"University of Toronto"
257.0;16.0;213.0;74.0;"University of Notre Dame"
257.0;17.0;213.0;72.8;"Columbia University"
87.0;18.0;71.0;72.8;"Fudan University"
257.0;19.0;213.0;72.8;"University of Chicago"
162.0;20.0;140.0;72.7;"Ruprecht-Karls-Universität Heidelberg"
257.0;21.0;213.0;72.5;"University of California, Los Angeles (UCLA)"
158.0;22.0;140.0;72.1;"Université Paris 1 Panthéon-Sorbonne "
208.0;23.0;140.0;71.7;"University of St Andrews"
146.0;24.0;140.0;71.3;"KU Leuven"
158.0;25.0;140.0;71.2;"Ecole normale supérieure, Paris"
158.0;26.0;140.0;70.2;"Université Paris-Sorbonne (Paris IV)"
162.0;27.0;140.0;69.7;"Humboldt-Universität zu Berlin"
208.0;28.0;140.0;68.7;"King's College London (KCL)"
100.0;29.0;71.0;68.2;"The University of Tokyo"
87.0;30.0;71.0;68.1;"Peking University"
257.0;31.0;213.0;67.6;"Boston University"
257.0;32.0;213.0;67.6;"University of Arizona"
257.0;33.0;213.0;67.3;"University of North Carolina, Chapel Hill"
241.0;34.0;213.0;67.0;"Universidad Nacional Autónoma de México (UNAM)"
222.0;35.0;213.0;66.0;"McGill University"
87.0;36.0;71.0;65.5;"Tsinghua University"
162.0;37.0;140.0;65.0;"Freie Universität Berlin"
208.0;38.0;140.0;64.8;"University of Edinburgh"
257.0;39.0;213.0;64.7;"Cornell University"
162.0;40.0;140.0;64.6;"Universität Frankfurt am Main"
94.0;41.0;71.0;64.4;"The University of Hong Kong"
353.0;42.0;349.0;64.0;"Universidade estadual de Campinas(Unicamp)"
162.0;43.0;140.0;63.6;"Ludwig-Maximilians-Universität München"
257.0;44.0;213.0;62.4;"Duke University"
257.0;45.0;213.0;62.4;"Ohio State University"
87.0;46.0;71.0;62.4;"Renmin (People’s) University of China"
350.0;47.0;349.0;62.2;"Universidad de Buenos Aires"
257.0;48.0;213.0;61.0;"Brown University"
257.0;49.0;213.0;60.9;"City University of New York"
143.0;50.0;140.0;60.4;"University of Vienna"
87.0;51.0;71.0;0.0;"Beijing Normal University "
208.0;52.0;140.0;0.0;"Birkbeck, University of London"
169.0;53.0;140.0;0.0;"Central European University "
208.0;54.0;140.0;0.0;"Durham University"
187.0;56.0;140.0;0.0;"Erasmus University Rotterdam"
162.0;55.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
187.0;57.0;140.0;0.0;"Leiden University"
193.0;58.0;140.0;0.0;"Lomonosov MSU"
128.0;59.0;71.0;0.0;"National Chengchi University"
128.0;60.0;71.0;0.0;"National Taiwan University (NTU)"
257.0;61.0;213.0;0.0;"Northwestern University"
257.0;62.0;213.0;0.0;"Pennsylvania State University"
355.0;63.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
257.0;64.0;213.0;0.0;"Purdue University"
222.0;65.0;213.0;0.0;"Queen's University, Ontario"
162.0;66.0;140.0;0.0;"Ruhr-Universität Bochum"
174.0;67.0;140.0;0.0;"Sapienza University of Rome"
319.0;68.0;317.0;0.0;"The University of Queensland"
319.0;69.0;317.0;0.0;"The University of Sydney"
208.0;70.0;140.0;0.0;"The University of Warwick"
222.0;71.0;213.0;0.0;"Western University"
208.0;72.0;140.0;0.0;"UCL (University College London)"
353.0;73.0;349.0;0.0;"Universidade de São Paulo (USP)"
353.0;74.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
353.0;75.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
353.0;76.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
174.0;77.0;140.0;0.0;"Università Cattolica del Sacro Cuore"
174.0;78.0;140.0;0.0;"University of Bologna"
199.0;79.0;140.0;0.0;"University of Barcelona"
162.0;80.0;140.0;0.0;"Universität Freiburg"
162.0;81.0;140.0;0.0;"Universität Hamburg"
162.0;82.0;140.0;0.0;"Universität Konstanz"
146.0;83.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
222.0;84.0;213.0;0.0;"Université de Montréal "
222.0;85.0;213.0;0.0;"Université du Québec"
222.0;86.0;213.0;0.0;"University of Alberta"
187.0;87.0;140.0;0.0;"University of Amsterdam"
208.0;88.0;140.0;0.0;"University of Bristol"
222.0;89.0;213.0;0.0;"University of British Columbia"
257.0;90.0;213.0;0.0;"University of California, Davis"
257.0;91.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
257.0;92.0;213.0;0.0;"University of California, Riverside"
152.0;93.0;140.0;0.0;"University of Copenhagen"
205.0;94.0;140.0;0.0;"University of Geneva"
187.0;95.0;140.0;0.0;"University of Groningen"
156.0;96.0;140.0;0.0;"University of Helsinki"
257.0;97.0;213.0;0.0;"Washington University in St. Louis"
162.0;98.0;140.0;0.0;"Westfälische Wilhelms-Universität Münster "
87.0;99.0;71.0;0.0;"Wuhan University"
222.0;100.0;213.0;0.0;"York University"
257.0;101.0;213.0;0.0;"Boston College"
257.0;102.0;213.0;0.0;"Brandeis University"
151.0;103.0;140.0;0.0;"Charles University"
222.0;104.0;213.0;0.0;"Dalhousie University"
257.0;105.0;213.0;0.0;"Fordham University"
257.0;106.0;213.0;0.0;"Georgetown University"
94.0;107.0;71.0;0.0;"Hong Kong Baptist University"
257.0;108.0;213.0;0.0;"Indiana University Bloomington"
222.0;109.0;213.0;0.0;"Laval University"
94.0;110.0;71.0;0.0;"Lingnan University (Hong Kong)"
257.0;111.0;213.0;0.0;"Loyola University Chicago"
319.0;112.0;317.0;0.0;"Macquarie University"
222.0;113.0;213.0;0.0;"McMaster University"
124.0;114.0;71.0;0.0;"National University of Singapore (NUS)"
257.0;115.0;213.0;0.0;"New School University"
203.0;116.0;140.0;0.0;"Stockholm University"
87.0;117.0;71.0;0.0;"Sun Yat-sen University"
208.0;118.0;140.0;0.0;"The University of Manchester"
319.0;119.0;317.0;0.0;"The University of Melbourne"
319.0;120.0;317.0;0.0;"The University of New South Wales"
187.0;121.0;140.0;0.0;"Tilburg University"
171.0;122.0;140.0;0.0;"Trinity College Dublin"
199.0;123.0;140.0;0.0;"Universidad Autónoma de Madrid"
199.0;124.0;140.0;0.0;"University of Navarra"
350.0;125.0;349.0;0.0;"Universidad Nacional de Córdoba"
174.0;126.0;140.0;0.0;"University of Florence"
174.0;128.0;140.0;0.0;"University of Padua"
199.0;129.0;140.0;0.0;"Universitat Autònoma de Barcelona"
162.0;130.0;140.0;0.0;"Universität Bielefeld"
199.0;131.0;140.0;0.0;"Universitat de Valencia"
257.0;132.0;213.0;0.0;"University at Buffalo SUNY"
208.0;133.0;140.0;0.0;"University of Aberdeen"
222.0;134.0;213.0;0.0;"University of Calgary"
257.0;135.0;213.0;0.0;"University of California, San Diego (UCSD)"
