"country_tid";"rank_politics";"region_tid";"score_politics";"title"
257.0;1.0;213.0;93.8;"Harvard University"
208.0;2.0;140.0;91.8;"University of Oxford"
208.0;3.0;140.0;90.5;"London School of Economics and Political Science (LSE)"
257.0;4.0;213.0;90.2;"Princeton University"
257.0;5.0;213.0;89.9;"Yale University"
208.0;6.0;140.0;87.8;"University of Cambridge"
319.0;7.0;317.0;87.4;"The Australian National University"
257.0;8.0;213.0;82.9;"Stanford University"
124.0;9.0;71.0;80.0;"National University of Singapore (NUS)"
257.0;10.0;213.0;79.5;"University of California, Berkeley (UCB)"
257.0;11.0;213.0;78.8;"Columbia University"
100.0;12.0;71.0;78.7;"The University of Tokyo"
158.0;13.0;140.0;77.5;"Sciences Po Paris"
257.0;14.0;213.0;77.4;"Georgetown University"
257.0;15.0;213.0;77.4;"University of Chicago"
94.0;16.0;71.0;76.0;"The University of Hong Kong"
257.0;17.0;213.0;75.4;"Johns Hopkins University"
257.0;18.0;213.0;74.8;"Cornell University"
87.0;19.0;71.0;74.0;"Fudan University"
257.0;20.0;213.0;73.5;"New York University (NYU)"
87.0;21.0;71.0;72.1;"Peking University"
257.0;22.0;213.0;71.7;"Massachusetts Institute of Technology (MIT) "
100.0;23.0;71.0;71.6;"Kyoto University"
319.0;24.0;317.0;71.5;"The University of Sydney"
319.0;25.0;317.0;70.7;"The University of Melbourne"
334.0;26.0;317.0;70.5;"The University of Auckland"
257.0;27.0;213.0;70.3;"University of California, San Diego (UCSD)"
208.0;28.0;140.0;69.2;"King's College London (KCL)"
257.0;29.0;213.0;68.9;"University of California, Los Angeles (UCLA)"
106.0;30.0;71.0;68.3;"Seoul National University"
106.0;31.0;71.0;68.3;"Yonsei University"
257.0;32.0;213.0;68.2;"University of Pennsylvania"
222.0;33.0;213.0;67.9;"University of Toronto"
187.0;34.0;140.0;67.8;"Leiden University"
124.0;35.0;71.0;67.7;"Nanyang Technological University, Singapore (NTU)"
208.0;36.0;140.0;67.7;"University of Edinburgh"
257.0;37.0;213.0;67.5;"University of Michigan"
94.0;38.0;71.0;67.3;"City University of Hong Kong"
94.0;39.0;71.0;67.2;"The Chinese University of Hong Kong"
319.0;40.0;317.0;67.1;"The University of Queensland"
87.0;41.0;71.0;67.0;"Tsinghua University"
106.0;42.0;71.0;66.8;"Korea University"
208.0;43.0;140.0;66.7;"The University of Manchester"
208.0;44.0;140.0;66.2;"The University of Warwick"
187.0;45.0;140.0;66.2;"University of Amsterdam"
171.0;46.0;140.0;65.2;"Trinity College Dublin"
208.0;47.0;140.0;65.0;"UCL (University College London)"
222.0;48.0;213.0;64.9;"McGill University"
319.0;49.0;317.0;63.8;"Monash University"
257.0;50.0;213.0;63.5;"Duke University"
152.0;51.0;140.0;0.0;"Aarhus University"
257.0;52.0;213.0;0.0;"Boston University"
257.0;53.0;213.0;0.0;"Brown University"
169.0;54.0;140.0;0.0;"Central European University "
152.0;55.0;140.0;0.0;"Copenhagen Business School"
162.0;59.0;140.0;0.0;"Freie Universität Berlin"
319.0;56.0;317.0;0.0;"Deakin University"
208.0;57.0;140.0;0.0;"Durham University"
205.0;58.0;140.0;0.0;"ETH Zurich - Swiss Federal Institute of Technology"
353.0;60.0;349.0;0.0;"Fundação Getulio Vargas (FGV)"
257.0;61.0;213.0;0.0;"George Washington University"
319.0;62.0;317.0;0.0;"Griffith University"
257.0;63.0;213.0;0.0;"Indiana University Bloomington"
146.0;64.0;140.0;0.0;"KU Leuven"
208.0;65.0;140.0;0.0;"Keele University "
203.0;66.0;140.0;0.0;"Lund University"
257.0;67.0;213.0;0.0;"Northwestern University"
355.0;68.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
162.0;69.0;140.0;0.0;"Ruprecht-Karls-Universität Heidelberg"
208.0;70.0;140.0;0.0;"SOAS, University of London "
319.0;71.0;317.0;0.0;"The University of Adelaide"
319.0;72.0;317.0;0.0;"The University of New South Wales"
208.0;73.0;140.0;0.0;"The University of Sheffield"
353.0;74.0;349.0;0.0;"Universidade de São Paulo (USP)"
174.0;75.0;140.0;0.0;"University of Bologna"
162.0;76.0;140.0;0.0;"Universität Konstanz"
162.0;77.0;140.0;0.0;"Universität Mannheim"
222.0;78.0;213.0;0.0;"Université de Montréal "
146.0;79.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;80.0;140.0;0.0;"Université Paris 1 Panthéon-Sorbonne "
113.0;81.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
171.0;82.0;140.0;0.0;"University College Dublin"
208.0;83.0;140.0;0.0;"University of Birmingham"
