"country_tid";"rank_psychology";"region_tid";"score_psychology";"title"
257.0;1.0;213.0;98.2;"Harvard University"
208.0;2.0;140.0;95.9;"University of Cambridge"
208.0;3.0;140.0;94.2;"University of Oxford"
257.0;4.0;213.0;90.3;"Stanford University"
257.0;5.0;213.0;88.1;"Yale University"
257.0;6.0;213.0;87.9;"University of California, Los Angeles (UCLA)"
257.0;7.0;213.0;87.3;"University of Michigan"
257.0;8.0;213.0;87.0;"New York University (NYU)"
208.0;9.0;140.0;85.8;"UCL (University College London)"
319.0;10.0;317.0;85.7;"The University of Melbourne"
257.0;11.0;213.0;85.7;"University of California, Berkeley (UCB)"
257.0;12.0;213.0;85.3;"Princeton University"
257.0;13.0;213.0;84.8;"University of Pennsylvania"
319.0;14.0;317.0;84.0;"The University of Queensland"
319.0;15.0;317.0;83.9;"The University of New South Wales"
187.0;16.0;140.0;83.4;"University of Amsterdam"
257.0;17.0;213.0;82.9;"Columbia University"
222.0;18.0;213.0;81.8;"University of Toronto"
334.0;19.0;317.0;81.7;"University of Otago"
222.0;20.0;213.0;80.4;"McGill University"
257.0;21.0;213.0;80.1;"University of Chicago"
208.0;22.0;140.0;79.8;"London School of Economics and Political Science (LSE)"
257.0;23.0;213.0;79.1;"University of Illinois at Urbana-Champaign"
319.0;24.0;317.0;78.8;"The University of Sydney"
124.0;25.0;71.0;78.5;"National University of Singapore (NUS)"
94.0;26.0;71.0;78.5;"The University of Hong Kong"
222.0;27.0;213.0;78.4;"University of British Columbia"
208.0;28.0;140.0;77.9;"King's College London (KCL)"
208.0;29.0;140.0;77.2;"University of Edinburgh"
319.0;30.0;317.0;77.0;"The Australian National University"
319.0;31.0;317.0;76.7;"The University of Western Australia"
257.0;32.0;213.0;76.4;"Duke University"
146.0;33.0;140.0;76.4;"University of Ghent"
334.0;34.0;317.0;76.3;"The University of Auckland"
187.0;35.0;140.0;75.5;"Maastricht University"
208.0;36.0;140.0;74.8;"The University of Manchester"
162.0;37.0;140.0;73.7;"Ludwig-Maximilians-Universität München"
146.0;38.0;140.0;73.4;"KU Leuven"
319.0;39.0;317.0;73.4;"Monash University"
208.0;40.0;140.0;73.3;"Cardiff University"
94.0;41.0;71.0;72.8;"The Chinese University of Hong Kong"
208.0;42.0;140.0;72.6;"University of York"
257.0;43.0;213.0;72.5;"University of Wisconsin-Madison"
257.0;44.0;213.0;72.4;"University of California, San Diego (UCSD)"
124.0;45.0;71.0;72.1;"Nanyang Technological University, Singapore (NTU)"
257.0;46.0;213.0;71.9;"University of Minnesota"
257.0;47.0;213.0;71.8;"University of Texas at Austin"
319.0;48.0;317.0;71.7;"Macquarie University"
87.0;49.0;71.0;71.7;"Peking University"
257.0;50.0;213.0;71.7;"Vanderbilt University"
257.0;51.0;213.0;0.0;"Brown University"
257.0;52.0;213.0;0.0;"Cornell University"
187.0;53.0;140.0;0.0;"Erasmus University Rotterdam"
162.0;54.0;140.0;0.0;"Freie Universität Berlin"
162.0;55.0;140.0;0.0;"Humboldt-Universität zu Berlin"
257.0;56.0;213.0;0.0;"Indiana University Bloomington"
257.0;57.0;213.0;0.0;"Johns Hopkins University"
187.0;58.0;140.0;0.0;"Leiden University"
257.0;59.0;213.0;0.0;"Northwestern University"
257.0;60.0;213.0;0.0;"Pennsylvania State University"
355.0;61.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
187.0;62.0;140.0;0.0;"Radboud University Nijmegen"
162.0;63.0;140.0;0.0;"Ruprecht-Karls-Universität Heidelberg"
319.0;64.0;317.0;0.0;"The University of Adelaide"
100.0;65.0;71.0;0.0;"The University of Tokyo"
208.0;66.0;140.0;0.0;"The University of Warwick"
222.0;67.0;213.0;0.0;"Western University"
187.0;68.0;140.0;0.0;"Tilburg University"
171.0;69.0;140.0;0.0;"Trinity College Dublin"
199.0;70.0;140.0;0.0;"Universidad Autónoma de Madrid"
199.0;71.0;140.0;0.0;"University Complutense Madrid"
350.0;72.0;349.0;0.0;"Universidad de Buenos Aires"
241.0;73.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
353.0;74.0;349.0;0.0;"Universidade de São Paulo (USP)"
174.0;75.0;140.0;0.0;"Università Cattolica del Sacro Cuore"
174.0;76.0;140.0;0.0;"University of Bologna"
199.0;77.0;140.0;0.0;"University of Barcelona"
199.0;78.0;140.0;0.0;"Universitat de Valencia"
146.0;79.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
208.0;80.0;140.0;0.0;"University of Birmingham"
208.0;81.0;140.0;0.0;"University of Bristol"
257.0;82.0;213.0;0.0;"University of California, Davis"
257.0;83.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
257.0;84.0;213.0;0.0;"University of Colorado Boulder"
152.0;85.0;140.0;0.0;"University of Copenhagen"
208.0;86.0;140.0;0.0;"The University of Exeter"
257.0;87.0;213.0;0.0;"University of Florida"
208.0;88.0;140.0;0.0;"University of Glasgow"
187.0;89.0;140.0;0.0;"University of Groningen"
208.0;90.0;140.0;0.0;"University of Leeds"
257.0;91.0;213.0;0.0;"University of North Carolina, Chapel Hill"
189.0;92.0;140.0;0.0;"University of Oslo"
257.0;93.0;213.0;0.0;"University of Southern California"
257.0;94.0;213.0;0.0;"University of Washington"
205.0;95.0;140.0;0.0;"University of Zurich (UZH)"
187.0;96.0;140.0;0.0;"Utrecht University"
334.0;97.0;317.0;0.0;"Victoria University of Wellington"
187.0;98.0;140.0;0.0;"VU University Amsterdam"
257.0;99.0;213.0;0.0;"Washington University in St. Louis"
222.0;100.0;213.0;0.0;"York University"
152.0;101.0;140.0;0.0;"Aarhus University"
257.0;102.0;213.0;0.0;"Arizona State University"
87.0;103.0;71.0;0.0;"Beijing Normal University "
208.0;104.0;140.0;0.0;"Birkbeck, University of London"
257.0;105.0;213.0;0.0;"Boston University"
257.0;106.0;213.0;0.0;"Carnegie Mellon University"
257.0;107.0;213.0;0.0;"City University of New York"
319.0;108.0;317.0;0.0;"Curtin University"
319.0;109.0;317.0;0.0;"Deakin University"
162.0;110.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
257.0;111.0;213.0;0.0;"Emory University"
162.0;112.0;140.0;0.0;"Georg-August-Universität Göttingen"
319.0;113.0;317.0;0.0;"Griffith University"
203.0;114.0;140.0;0.0;"Karolinska Institute"
100.0;115.0;71.0;0.0;"Kyoto University"
319.0;116.0;317.0;0.0;"La Trobe University"
334.0;117.0;317.0;0.0;"Massey University"
222.0;118.0;213.0;0.0;"McMaster University"
257.0;119.0;213.0;0.0;"Michigan State University"
208.0;120.0;140.0;0.0;"Newcastle University"
257.0;121.0;213.0;0.0;"Ohio State University"
257.0;122.0;213.0;0.0;"Purdue University"
222.0;123.0;213.0;0.0;"Queen's University, Ontario"
174.0;124.0;140.0;0.0;"Sapienza University of Rome"
222.0;125.0;213.0;0.0;"Simon Fraser University"
74.0;126.0;71.0;0.0;"Tel Aviv University"
208.0;127.0;140.0;0.0;"The University of Nottingham"
208.0;128.0;140.0;0.0;"The University of Sheffield"
174.0;129.0;140.0;0.0;"University of Padua"
199.0;130.0;140.0;0.0;"Universitat Autònoma de Barcelona"
162.0;131.0;140.0;0.0;"Universität Freiburg"
162.0;132.0;140.0;0.0;"Universität Konstanz"
162.0;133.0;140.0;0.0;"Universität Mannheim"
222.0;134.0;213.0;0.0;"Université de Montréal "
222.0;135.0;213.0;0.0;"University of Alberta"
257.0;136.0;213.0;0.0;"University of Arizona"
334.0;137.0;317.0;0.0;"University of Canterbury"
54.0;138.0;6.0;0.0;"University of Cape Town"
205.0;139.0;140.0;0.0;"University of Geneva"
156.0;140.0;140.0;0.0;"University of Helsinki"
156.0;141.0;140.0;0.0;"University of Jyväskylä"
205.0;142.0;140.0;0.0;"University of Lausanne"
319.0;143.0;317.0;0.0;"University of South Australia"
208.0;144.0;140.0;0.0;"University of Southampton"
208.0;145.0;140.0;0.0;"University of St Andrews"
208.0;146.0;140.0;0.0;"University of Sussex"
156.0;147.0;140.0;0.0;"University of Turku"
257.0;148.0;213.0;0.0;"University of Virginia"
222.0;149.0;213.0;0.0;"University of Waterloo"
319.0;150.0;317.0;0.0;"University of Wollongong"
208.0;151.0;140.0;0.0;"Bangor University"
74.0;152.0;71.0;0.0;"Ben Gurion University of The Negev"
222.0;153.0;213.0;0.0;"Concordia University"
222.0;154.0;213.0;0.0;"Dalhousie University"
257.0;155.0;213.0;0.0;"Dartmouth College"
208.0;156.0;140.0;0.0;"Durham University"
319.0;157.0;317.0;0.0;"Flinders University"
257.0;158.0;213.0;0.0;"Georgia Institute of Technology"
162.0;159.0;140.0;0.0;"Julius-Maximilians-Universität Würzburg"
106.0;160.0;71.0;0.0;"Korea University"
208.0;161.0;140.0;0.0;"Lancaster University"
203.0;162.0;140.0;0.0;"Lund University"
128.0;163.0;71.0;0.0;"National Cheng Kung University"
128.0;164.0;71.0;0.0;"National Taiwan University (NTU)"
100.0;165.0;71.0;0.0;"Osaka University"
208.0;166.0;140.0;0.0;"Queen's University of Belfast"
319.0;167.0;317.0;0.0;"Queensland University of Technology (QUT)"
319.0;168.0;317.0;0.0;"RMIT University"
257.0;169.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
106.0;170.0;71.0;0.0;"Seoul National University"
203.0;171.0;140.0;0.0;"Stockholm University"
106.0;172.0;71.0;0.0;"Sungkyunkwan University"
162.0;173.0;140.0;0.0;"Technische Universität Dresden"
257.0;174.0;213.0;0.0;"Texas A&M University"
203.0;175.0;140.0;0.0;"Umeå universitet"
199.0;176.0;140.0;0.0;"University of Granada"
199.0;177.0;140.0;0.0;"University of Salamanca"
353.0;178.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
162.0;179.0;140.0;0.0;"Universität des Saarlandes"
162.0;180.0;140.0;0.0;"Universität zu Köln"
162.0;181.0;140.0;0.0;"Universität  Leipzig"
143.0;182.0;140.0;0.0;"University of Vienna"
158.0;183.0;140.0;0.0;"Université Aix-Marseille"
146.0;184.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;185.0;140.0;0.0;"Université Paris Descartes"
189.0;186.0;140.0;0.0;"University of Bergen"
257.0;187.0;213.0;0.0;"University of California, Santa Barbara (UCSB)"
203.0;188.0;140.0;0.0;"University of Gothenburg"
257.0;189.0;213.0;0.0;"University of Illinois at Chicago"
257.0;190.0;213.0;0.0;"University of Iowa"
257.0;191.0;213.0;0.0;"University of Kansas"
208.0;192.0;140.0;0.0;"University of Kent"
208.0;193.0;140.0;0.0;"University of Leicester"
146.0;194.0;140.0;0.0;"Université de Liège"
257.0;195.0;213.0;0.0;"University of Maryland, College Park"
174.0;196.0;140.0;0.0;"University of Milano-Bicocca "
257.0;197.0;213.0;0.0;"University of Pittsburgh"
222.0;198.0;213.0;0.0;"University of Victoria"
203.0;199.0;140.0;0.0;"Uppsala University"
162.0;200.0;140.0;0.0;"Westfälische Wilhelms-Universität Münster "
