"country_tid";"rank_statistics";"region_tid";"score_statistics";"title"
257.0;1.0;213.0;94.9;"Stanford University"
257.0;2.0;213.0;91.5;"Massachusetts Institute of Technology (MIT) "
257.0;3.0;213.0;90.7;"University of California, Berkeley (UCB)"
257.0;4.0;213.0;88.9;"Harvard University"
257.0;5.0;213.0;87.8;"Georgia Institute of Technology"
208.0;6.0;140.0;87.4;"University of Cambridge"
124.0;7.0;71.0;87.2;"National University of Singapore (NUS)"
257.0;8.0;213.0;82.5;"University of California, Los Angeles (UCLA)"
208.0;9.0;140.0;82.4;"University of Oxford"
208.0;10.0;140.0;81.7;"Imperial College London"
205.0;11.0;140.0;81.3;"ETH Zurich - Swiss Federal Institute of Technology"
257.0;12.0;213.0;80.9;"University of Michigan"
257.0;13.0;213.0;79.8;"Carnegie Mellon University"
100.0;14.0;71.0;79.4;"The University of Tokyo"
94.0;15.0;71.0;78.2;"The Hong Kong University of Science and Technology"
257.0;16.0;213.0;78.1;"Columbia University"
257.0;17.0;213.0;77.4;"Cornell University"
257.0;18.0;213.0;76.4;"Duke University"
94.0;19.0;71.0;75.6;"The University of Hong Kong"
87.0;20.0;71.0;75.3;"Tsinghua University"
257.0;21.0;213.0;75.2;"Princeton University"
257.0;22.0;213.0;75.1;"University of Pennsylvania"
257.0;23.0;213.0;74.3;"University of Washington"
319.0;24.0;317.0;72.9;"The University of Melbourne"
146.0;25.0;140.0;72.5;"KU Leuven"
222.0;26.0;213.0;72.4;"University of British Columbia"
222.0;27.0;213.0;72.2;"University of Toronto"
208.0;28.0;140.0;71.3;"The University of Warwick"
257.0;29.0;213.0;71.2;"University of Wisconsin-Madison"
124.0;30.0;71.0;71.0;"Nanyang Technological University, Singapore (NTU)"
87.0;31.0;71.0;70.4;"Shanghai Jiao Tong University"
257.0;32.0;213.0;69.8;"Purdue University"
257.0;33.0;213.0;69.5;"Texas A&M University"
319.0;34.0;317.0;69.3;"The Australian National University"
257.0;35.0;213.0;69.1;"University of North Carolina, Chapel Hill"
158.0;36.0;140.0;69.0;"Université Pierre et Marie Curie (UPMC)"
257.0;37.0;213.0;68.7;"Northwestern University"
257.0;38.0;213.0;68.3;"University of Chicago"
94.0;39.0;71.0;68.1;"The Hong Kong Polytechnic University"
222.0;40.0;213.0;67.8;"Université de Montréal "
257.0;41.0;213.0;67.7;"University of Texas at Austin"
