title;country
Aalto University;FINLAND
Aarhus University;DENMARK
Abilene Christian University;UNITED STATES - TX
Adelphi University;UNITED STATES - NY
Robert B.Adolfo Ibanez University;CHILE
Alfred University;UNITED STATES - NY
American University;UNITED STATES - DC
KogodThe American University in Cairo;EGYPT
American University of Beirut;LEBANON
Suliman S.American University of Sharjah;UNITED ARAB EMIRATES
Appalachian State University;UNITED STATES - NC
WalkerArizona State University;UNITED STATES - AZ
W. P.Arkansas State University;UNITED STATES - AR
Arkansas Tech University;UNITED STATES - AR
Ashridge Business School;UNITED KINGDOM - England
Asian Institute of Management;PHILIPPINES
Aston University;UNITED KINGDOM - England
AstonAuburn University;UNITED STATES - AL
Raymond J.Auburn University at Montgomery;UNITED STATES - AL
Auckland University of Technology;NEW ZEALAND
BusineAudencia Nantes School of Management;FRANCE
Babson College;UNITED STATES - MA
F.W.Ball State University;UNITED STATES - IN
TBarry University;UNITED STATES - FL
D.Baruch College-The City University of New York;UNITED STATES - NY
TBaylor University;UNITED STATES - TX
HankamerBellarmine University;UNITED STATES - KY
W.Belmont University;UNITED STATES - TN
Bentley University;UNITED STATES - MA
Berry College;UNITED STATES - GA
CampbBI Norwegian Business School;NORWAY
Bilkent University;TURKEY
FacultyBinghamton University, State University of New York;UNITED STATES - NY
Black Hills State University;UNITED STATES - SD
Bloomsburg University of Pennsylvania;UNITED STATES - PA
Boise State University;UNITED STATES - ID
Bond University;AUSTRALIA - Queensland
FacultyBoston College;UNITED STATES - MA
Wallace E.Boston University;UNITED STATES - MA
Bowling Green State University;UNITED STATES - OH
Bradley University;UNITED STATES - IL
FosterBrandeis University;UNITED STATES - MA
InternationaBrigham Young University;UNITED STATES - UT
MarriottBrock University;CANADA - ON
GoodmanBryant University;UNITED STATES - RI
Bucknell University;UNITED STATES - PA
Butler University;UNITED STATES - IN
California Polytechnic State University, San Luis Obispo;UNITED STATES - CA
OrfaleaCalifornia State Polytechnic University, Pomona;UNITED STATES - CA
California State University, Bakersfield;UNITED STATES - CA
California State University, Chico;UNITED STATES - CA
California State University, East Bay;UNITED STATES - CA
California State University, Fresno;UNITED STATES - CA
TCalifornia State University, Fullerton;UNITED STATES - CA
Steven G.California State University, Long Beach;UNITED STATES - CA
California State University, Los Angeles;UNITED STATES - CA
California State University, Northridge;UNITED STATES - CA
California State University, Sacramento;UNITED STATES - CA
California State University, San Bernardino;UNITED STATES - CA
California State University, Stanislaus;UNITED STATES - CA
Canisius College;UNITED STATES - NY
Richard J.Cardiff University;UNITED KINGDOM - Wales
CardiCarleton University;CANADA - ON
SprottCarnegie Mellon University;UNITED STATES - PA
TepperCase Western Reserve University;UNITED STATES - OH
WeatherheadCentral Connecticut State University;UNITED STATES - CT
Central Michigan University;UNITED STATES - MI
Central Washington University;UNITED STATES - WA
CENTRUM Católica Graduate Business School;PERU
Chapman University;UNITED STATES - CA
The George L.Charles H. Dyson School of Applied Economics and Management, Cornell University;UNITED STATES - NY
China Europe International Business School;CEIBS;CHINA - Shanghai
The Chinese University of Hong Kong;CHINA - Hong Kong
FacultyChonnam National University;SOUTH KOREA
Christopher Newport University;UNITED STATES - VA
Joseph W. Luter,The Citadel;UNITED STATES - SC
TCity University of Hong Kong;CHINA - Hong Kong
City University;UNITED KINGDOM - England
CaClaremont Graduate University;UNITED STATES - CA
The Peter F.Clarion University of Pennsylvania;UNITED STATES - PA
Clark Atlanta University;UNITED STATES - GA
Clark University;UNITED STATES - MA
GraduatClarkson University;UNITED STATES - NY
Clayton State University;UNITED STATES - GA
Clemson University;UNITED STATES - SC
Cleveland State University;UNITED STATES - OH
AhujaCoastal Carolina University;UNITED STATES - SC
E. Craig Wall Sr.College of Charleston;UNITED STATES - SC
The College of New Jersey;UNITED STATES - NJ
College of William and Mary;UNITED STATES - VA
MasonColorado State University;UNITED STATES - CO
Colorado State University-Pueblo;UNITED STATES - CO
MalikColumbia University;UNITED STATES - NY
ColumbiaColumbus State University;UNITED STATES - GA
D.Concordia University;CANADA - QC
JohnCopenhagen Business School;DENMARK
Cornell University;UNITED STATES - NY
S. C.Cranfield University;UNITED KINGDOM - England
CranfieldCreighton University;UNITED STATES - NE
Dalhousie University;CANADA - NS
FacultyDalton State College;UNITED STATES - GA
Dartmouth College;UNITED STATES - NH
TuckDelaware State University;UNITED STATES - DE
DePaul University;UNITED STATES - IL
Richard H.Dominican University;UNITED STATES - IL
BrennanDongguk University;SOUTH KOREA
DonggukDrexel University;UNITED STATES - PA
Bennett S.Drury University;UNITED STATES - MO
BreeDuke University;UNITED STATES - NC
TDuquesne University;UNITED STATES - PA
A.J.Durham University;UNITED KINGDOM - England
DurhamEast Carolina University;UNITED STATES - NC
East Tennessee State University;UNITED STATES - TN
Eastern Illinois University;UNITED STATES - IL
LumpkinEastern Kentucky University;UNITED STATES - KY
Eastern Michigan University;UNITED STATES - MI
Eastern Washington University;UNITED STATES - WA
Ecole de Management de Normandie;FRANCE
EDHEC Business School, Lille and Nice;FRANCE
EGADE Business School;MEXICO
TecnológiElizabeth City State University;UNITED STATES - NC
Walter R.Elon University;UNITED STATES - NC
MarthaEMLYON Business School;FRANCE
Emory University;UNITED STATES - GA
GoizuetaEmporia State University;UNITED STATES - KS
Erasmus University Rotterdam;NETHERLANDS
RotterdamESADE;SPAIN
ESADESC Rennes School of Business;FRANCE
ESCEM School of Business and Management;Tours-Poitiers;FRANCE
ESCP Europe;FRANCE
ESMT European School of Management and Technology;GERMANY
ESPAE-Graduate School of Management;ECUADOR
ESSCA;Ecole Superieure des Sciences Commerciales d'Angers;FRANCE
ESSCAESSEC Business School;FRANCE
Ewha Womans University;SOUTH KOREA
College of Business Administration/GraduatFairfield University;UNITED STATES - CT
Charles F.Fairleigh Dickinson University;UNITED STATES - NJ
SilbermanFayetteville State University;UNITED STATES - NC
Feng Chia University;CHINESE TAIPEI
CollegeFlorida Atlantic University;UNITED STATES - FL
Florida Gulf Coast University;UNITED STATES - FL
LutgertFlorida International University;UNITED STATES - FL
Florida Southern College;UNITED STATES - FL
BarneyFlorida State University;UNITED STATES - FL
Fordham University;UNITED STATES - NY
GabelliFort Lewis College;UNITED STATES - CO
Francis Marion University;UNITED STATES - SC
Frankfurt School of Finance & Management gGmbH;GERMANY
Frostburg State University;UNITED STATES - MD
Fu Jen Catholic University;CHINESE TAIPEI
Fudan University;CHINA - Shanghai
Fundação Getulio Vargas, São Paulo;BRAZIL
Escola de Administração de Empresas de SãGeorge Mason University;UNITED STATES - VA
The George Washington University;UNITED STATES - DC
Georgetown University;UNITED STATES - DC
TGeorgia College & State University;UNITED STATES - GA
J.Georgia Institute of Technology;UNITED STATES - GA
Ernest Scheller Jr.Georgia Regents University;UNITED STATES - GA
James M.Georgia Southern University;UNITED STATES - GA
Georgia Southwestern State University;UNITED STATES - GA
Georgia State University;UNITED STATES - GA
J.Gonzaga University;UNITED STATES - WA
Grambling State University;UNITED STATES - LA
Grand Valley State University;UNITED STATES - MI
SeidmanGrenoble Ecole de Management;FRANCEGriffith University;AUSTRALIA - Queensland
GriffitGroupe ESC Clermont;FRANCE
GraduatGroupe ESC Dijon Bourgogne;FRANCE
BurgundyGroupe Sup de Co La Rochelle;FRANCEGulf University for Science and Technology;KUWAITHanyang University;SOUTH KOREA
Harvard University;UNITED STATES - MA
HarvardHEC Montréal;CANADA - QCHEC School of Management, Paris;FRANCEHenderson State University;UNITED STATES - AR
Henley Business School;UNITED KINGDOM - EnglandHHL Leipzig Graduate School of Management;GERMANYHofstra University;UNITED STATES - NY
Frank G.Hong Kong Baptist University;CHINA - Hong Kong
The Hong Kong Polytechnic University;CHINA - Hong Kong
FacultyThe Hong Kong University of Science and Technology;CHINA - Hong Kong
HKUSTHoward University;UNITED STATES - DC
IAE Business School;ARGENTINAIdaho State University;UNITED STATES - ID
IE Business School;SPAINIESE Business School;SPAINIESEG School of Management;FRANCEIllinois Institute of Technology;UNITED STATES - IL
StuartIllinois State University;UNITED STATES - IL
IMD;SWITZERLANDImperial College London;UNITED KINGDOM - England
ImperiaINCAE;COSTA RICAIndian Institute of Management Calcutta;INDIA - West BengalIndian School of Business;INDIA - Andhra PradeshIndiana State University;UNITED STATES - IN
ScottIndiana University Kokomo;UNITED STATES - IN
Indiana University Northwest;UNITED STATES - IN
Indiana University of Pennsylvania;UNITED STATES - PA
EberlyIndiana University South Bend;UNITED STATES - IN
JuddIndiana University Southeast;UNITED STATES - IN
Indiana University, Bloomington/Indianapolis;UNITED STATES - IN
KelleyIndiana University-Purdue University Fort Wayne;UNITED STATES - IN
Richard T.Inha University;SOUTH KOREA
INSEAD;FRANCEInsper Instituto de Ensino e Pesquisa;BRAZILInstituto de Estudios Superiores de Administración;IESA;VENEZUELAInstituto Tecnológico Autónomo de México;ITAM;MEXICOInstituto Tecnológico y de Estudios Superiores de Monterrey;MEXICO
School of Business,Iona College;UNITED STATES - NY
HaganIowa State University;UNITED STATES - IA
Instituto Panamericano de Alta Direccion de Empresa;IPADE;MEXICO
GraduatIQS-Institut Químic de Sarrià;SPAIN
IQIstanbul University;TURKEY
FacultyIthaca College;UNITED STATES - NY
Jackson State University;UNITED STATES - MS
Jacksonville State University;UNITED STATES - AL
Jacksonville University;UNITED STATES - FL
DaviJames Madison University;UNITED STATES - VA
Johann Wolfgang Goethe-Universitaet Frankfurt am Main;GERMANY
FacultyJohn Carroll University;UNITED STATES - OH
John M.Kansas State University;UNITED STATES - KS
KEDGE Business School;FRANCEKeio University;JAPAN - Kanagawa
GraduatKennesaw State University;UNITED STATES - GA
ColeKent State University;UNITED STATES - OH
King Fahd University of Petroleum and Minerals;SAUDI ARABIA
King's College;UNITED STATES - PA
The William G.Korea Advanced Institute of Science and Technology;KAIST;SOUTH KOREA
KAISTKorea University;SOUTH KOREA
BusineKozminski University;POLANDKuwait University;KUWAIT
Kyungpook National University;SOUTH KOREA
La Salle University;UNITED STATES - PA
Lamar University;UNITED STATES - TX
Lancaster University;UNITED KINGDOM - England
LancasterLander University;UNITED STATES - SC
Le Moyne College;UNITED STATES - NY
MaddenLehigh University;UNITED STATES - PA
Lingnan University;CHINA - Hong KongLondon Business School;UNITED KINGDOM - EnglandLong Island University-Post Campus;UNITED STATES - NY
Longwood University;UNITED STATES - VA
Loughborough University;UNITED KINGDOM - England
Louisiana State University;UNITED STATES - LA
E. J.Louisiana State University in Shreveport;UNITED STATES - LA
College of Business,Louisiana Tech University;UNITED STATES - LA
Loyola Marymount University;UNITED STATES - CA
Loyola University Chicago;UNITED STATES - IL
QuinlanLoyola University Maryland;UNITED STATES - MD
SellingerLoyola University New Orleans;UNITED STATES - LA
Maastricht University;NETHERLANDS
Macquarie Graduate School of Management;AUSTRALIA - New South WalesManhattan College;UNITED STATES - NY
Marist College;UNITED STATES - NY
Marquette University;UNITED STATES - WIMarshall University;UNITED STATES - WV
LewiMassachusetts Institute of Technology;UNITED STATES - MA
MITMassey University;NEW ZEALAND
McMaster University;CANADA - ON
DeGrootMcNeese State University;UNITED STATES - LA
Memorial University of Newfoundland;CANADA - NL
